"","1","2","3","4"
"sps_compABAM",0.00138681612542392,0.00097464558444341,0.00109993954030464,0.00103218807625647
"sps_compCANO",0,0,0,-3.68542786829477e-05
"sps_compOTHR",0,0,0,2.94501090794344e-05
"sps_compPSME",-0.000902256865409357,-0.00111049420017689,-0.00126186305272905,-0.00140660353443576
"sps_compTABR",0,0,0,0
"sps_compTHPL",-0.000581977947609207,-5.80076715322924e-06,-0.000516492074069957,-0.000612323335867143
"sps_compTSHE",0,0,0,0
"sps_compTSME",-0.000319376614066649,-0.000258784656603616,-0.000397543068644626,-0.000232972927231005
"dbh_comp",0.00038959222822447,0.000171981024447652,0.000418296093181675,0.000647094758839281
"prox",0,0,5.48417564200058e-06,9.27951110394286e-05
"all_density",-0.00110966043638493,-0.000908729117761442,0,-0.000454391992809231
"ABAM_density",0,0,0,0
"CANO_density",-0.00517437410439141,-0.00576125407894993,-0.00508829184586641,-0.00525325141909196
"PSME_density",-0.000826953110162483,-0.000332322599339203,-0.000276838417276475,-0.00111308116114276
"TABR_density",-0.0041904000901537,-0.0075460135598863,-0.00616777894846829,-0.00634246122453102
"THPL_density",0,0,-0.000946613885189703,-0.00113800681321915
"TSHE_density",0.0083672119638247,0.0084889782637525,0.00883786242855611,0.00930069507145401
"TSME_density",-0.00166153318691659,-0.00168031638700564,-0.00123517697865503,-0.00147090620367686
"pet_mm",0.00449245853512426,0.00547158846543979,0.00674305604864929,0.0057412117641067
"OTHR_density",-0.000860194225022265,-0.000374249024090597,-0.00084766483918849,0
