"","1","2","3","4"
"sps_compABAM",0,0,0,0
"sps_compCANO",0,0,0,0
"sps_compOTHR",0,0.00218581606364896,0.00222878185653129,0.00115904553894985
"sps_compTSHE",0,0,0,0
"sps_compTSME",0,0,0,0
"dbh_comp",0,0,0,0
"prox",0,0,0,0
"all_density",0,0,0,0
"ABAM_density",-0.000631364427590857,0,0,0
"CANO_density",-0.00819128161965314,-0.0101291581814083,-0.0111904821580333,-0.0104868002659898
"TSHE_density",0.00113638150016471,0.000435311167502186,0,0.00102894128261572
"TSME_density",0.000331221770803473,0,0,0
"pet_mm",0.0023498251944472,0.00178855442275854,0.00270264728542267,0.00343032190221822
"OTHR_density",0,0,0.000630955577273667,0.00140396275179076
