"","1","2","3","4"
"sps_compABAM",-0.000375208014385507,-0.000136983881589145,-0.000243941978479409,0
"sps_compABLA",0,0,0,0
"sps_compOTHR",0.000449290760447171,0,0,0.000210936543252622
"sps_compPICO",8.01162812198643e-05,0,0,0
"sps_compPIMO",0.000201736780605476,0,0,4.10784643194205e-05
"sps_compPSME",0,0,0,0
"sps_compTHPL",0,0,0,0
"sps_compTSHE",-4.65703227204958e-05,0,0,0
"dbh_comp",0,0,0,0
"prox",0,0,0,0
"all_density",-0.00550817674955745,-0.00497008754902898,-0.00553051048524675,-0.00418693101751384
"ABAM_density",-0.000806251147395494,-0.00115616495311408,-0.00194597794113798,-0.000746614212380997
"PSME_density",0,0,0,0
"THPL_density",0.00259609588914011,0.00289872960461582,0.00292277527587451,0.00257343348048138
"TSHE_density",-0.000280748099051366,-0.000821276450140726,-0.00133878307395259,-0.00163879684000639
"ABLA_density",-0.000811108271618806,0,0.000890314820031278,0
"PIMO_density",0.00899752376543659,0.0080830358610558,0.00745752881967263,0.0049557063232068
"PICO_density",0.0128486245370071,0.0129659955615586,0.0106726568739764,0.0141507054616308
"pet_mm",0.00258556770946735,0.00218332213557398,0.00146066096265401,0.000514301577020503
"OTHR_density",0.00111372946477472,0.000692597026682595,0.00044593614597919,0.000541394077102204
