"","1","2","3","4"
"sps_compABAM",0,0,0,0
"sps_compCANO",-0.000291298703161791,-0.000611552404639053,-0.00043624317909523,-0.000874251530643925
"sps_compOTHR",0,0,0,0
"sps_compPICO",0,0,0,0
"sps_compPIMO",0,0,0,0
"sps_compPSME",-0.000838906520099819,-0.00104772145402338,-0.00102467628956077,-0.000296451494925774
"sps_compTABR",0,0,0,0
"sps_compTHPL",-0.000562141951698999,-0.000248104264662669,-0.000429434821657296,-6.90599516500686e-05
"sps_compTSHE",0,0,0,0
"dbh_comp",0,0,0,0
"prox",0,0,0,0
"all_density",-0.00494609850589459,-0.00563542550014948,-0.00563408038366747,-0.00510004227891162
"ABAM_density",0.0168334964149614,0.0147254255243789,0.016444323457562,0.0127132897839147
"CANO_density",0,0,0,0
"PSME_density",-0.0101270989314778,-0.0081769055140138,-0.00948704602686032,-0.0117926029973912
"TABR_density",0.000578682841049144,0.00125180083401275,0.00188885757002336,0.000581825837426447
"THPL_density",0,0,0,0
"TSHE_density",-0.00521875156330438,-0.00561415449349396,-0.00452530619638661,-0.00572760597131968
"PIMO_density",-0.00343492433554006,0,-0.000133557794198499,0
"PICO_density",0.0041298277521846,0.000991083274362436,0.00020314843780338,0
"pet_mm",0.0112163078052672,0.00906325186588054,0.0110293422185182,0.0111699185581587
"OTHR_density",0,-0.000449974726508548,0,0
