"","1","2","3","4"
"sps_compABAM",0,0,0,0
"sps_compCANO",0,-0.000308122588546583,-0.000384797291186562,-0.000216297898287076
"sps_compOTHR",0,0,0,0
"sps_compTSME",0,0,0,0
"dbh_comp",0,0,0,0
"prox",0,0,0,0
"all_density",-0.00536905875435927,-0.0028909045769824,-0.000524676910586426,-0.00585110467960872
"ABAM_density",0,0,0,0
"CANO_density",0,-0.00229769033887562,-0.011929030901704,-0.0015222488668259
"TSME_density",-0.00798752300652499,-0.00914967298186137,-0.0132354923245505,-0.00752322940717159
"pet_mm",0,0,0,0
"OTHR_density",0.0030890205857523,0.00123755063553918,0,0.00175356876909086
