"species","training","sps_compABAM","sps_compCANO","sps_compOTHR","sps_compPSME","sps_compTABR","sps_compTHPL","sps_compTSHE","sps_compTSME","sps_compABLA","sps_compPICO","sps_compPIMO"
"ABAM",1,0,0.5,0.5,1,0.5,0.925,0.5,0.82,NA,NA,NA
"ABAM",2,0,0.5,0.5,1,0.5,0.53,0.5,0.805,NA,NA,NA
"ABAM",3,0,0.5,0.5,1,0.5,0.815,0.5,0.91,NA,NA,NA
"ABAM",4,0,0.505,0.495,1,0.5,0.83,0.5,0.535,NA,NA,NA
"CANO",1,0.5,0.5,0.5,NA,NA,NA,0.5,0.5,NA,NA,NA
"CANO",2,0.5,0.5,0,NA,NA,NA,0.5,0.5,NA,NA,NA
"CANO",3,0.5,0.5,0,NA,NA,NA,0.5,0.5,NA,NA,NA
"CANO",4,0.5,0.5,0,NA,NA,NA,0.5,0.5,NA,NA,NA
"PSME",1,0.985,NA,0,0.5,NA,0.5,0.525,NA,0.5,0.475,0.3
"PSME",2,0.585,NA,0.5,0.5,NA,0.5,0.5,NA,0.5,0.5,0.5
"PSME",3,0.76,NA,0.5,0.5,NA,0.5,0.5,NA,0.5,0.5,0.5
"PSME",4,0.5,NA,0.295,0.5,NA,0.5,0.5,NA,0.5,0.5,0.495
"THPL",1,0.5,NA,0.5,0.735,NA,0.5,0.5,NA,NA,NA,NA
"THPL",2,0.5,NA,0.5,0.655,NA,0.5,0.42,NA,NA,NA,NA
"THPL",3,0.5,NA,0.5,0.55,NA,0.5,0.5,NA,NA,NA,NA
"THPL",4,0.47,NA,0.5,0.5,NA,0.5,0.5,NA,NA,NA,NA
"TSHE",1,0.5,0.6,0.5,1,0.5,0.915,0.5,NA,NA,0.5,0.5
"TSHE",2,0.5,0.91,0.5,1,0.5,0.545,0.5,NA,NA,0.5,0.5
"TSHE",3,0.5,0.595,0.5,1,0.5,0.595,0.5,NA,NA,0.5,0.5
"TSHE",4,0.5,0.87,0.5,0.625,0.5,0.505,0.5,NA,NA,0.5,0.5
"TSME",1,0.5,0.5,0.5,NA,NA,NA,NA,0.5,NA,NA,NA
"TSME",2,0.5,0.52,0.5,NA,NA,NA,NA,0.5,NA,NA,NA
"TSME",3,0.5,0.52,0.5,NA,NA,NA,NA,0.5,NA,NA,NA
"TSME",4,0.5,0.525,0.5,NA,NA,NA,NA,0.5,NA,NA,NA
