"","1","2","3","4"
"sps_compABAM",0,0,0,0
"sps_compCANO",0,0,0,0
"sps_compOTHR",0.00194415962928137,0.00185848639666107,0,0
"sps_compTSHE",0,0,4.98019450432962e-05,0
"sps_compTSME",0,0,0,0
"dbh_comp",0,0,0,0
"prox",0,0,0,0
"all_density",-0.00141939199227599,0,0,-0.00138900440199481
"ABAM_density",-0.000385457110848218,-0.000183270285072331,-0.000732960446230846,-0.00151609335871413
"CANO_density",-0.0082204691649976,-0.00998258033879609,-0.0103309509070608,-0.00640855210810585
"TSHE_density",0.00144690410310133,0.000642424280118481,0,9.55667231317508e-05
"TSME_density",0,0,0.00076277208498598,0
"pet_mm",0.00202875749992097,0.00422138616831627,0.0034733880796211,0.00337466861809468
"inter_dens",0,0,0,0
"OTHR_density",0.00172955304174217,0.00106381018734324,0.000186313830104522,-0.00127979329317592
