"","1","2","3","4"
"sps_compABAM",0,0,0,0
"sps_compOTHR",0,0,0,0
"sps_compPSME",0,0,-0.000203283036874646,-0.000808144749249962
"sps_compTHPL",0,0,0,0
"sps_compTSHE",0,0,0,0
"dbh_comp",0,0,0,0
"prox",0,0,0,0
"all_density",-0.00527399617955851,-0.00454486219270837,-0.00803505553410719,-0.00945857633111327
"ABAM_density",0,0,0,0
"PSME_density",0,0,-0.00122528878275817,0
"THPL_density",-0.000157206134815296,-0.00146273380023413,0,0
"TSHE_density",0,0,0,0.00198540595622527
"pet_mm",0.0034262111359654,0.00183155431169972,0.00431445036380179,0.00293877065689388
"inter_dens",0,0,0,0
"OTHR_density",0.00288641664157374,0.00486666038471228,0.0035087477072011,0.00136471446586081
