"","1","2","3","4"
"sps_compABAM",-6.75057718600524e-05,0,0,0
"sps_compCANO",0,-0.000471301718956213,-0.000479300459533739,0
"sps_compOTHR",0,0,0,0
"sps_compTSME",0.000307036481416192,0,0,0
"dbh_comp",0,0,0,0
"prox",0,0,0,-0.000233319201191607
"all_density",-0.0121645220690908,-0.00367037986064575,0,-0.00126982850490361
"ABAM_density",0,0,0,0
"CANO_density",0,-0.000625339915625357,-0.00443238804558222,-0.000743753606765925
"TSME_density",0,-0.0084086004398929,-0.0111230324241971,-0.00542577941527656
"pet_mm",-0.00101667832335588,0,-0.00186945602127805,0
"inter_dens",-0.000150553726407084,0,0,0
"OTHR_density",-0.00281965625814962,0.00236779968706875,0.00549929891087498,0.00831409634914549
