"X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","sigma","X0_opt","Xb_opt","gmax_opt","pet_a_opt","pet_b_opt","C_opt","alpha_opt","beta_opt","sigma_opt","NLL"
10,2,1,3,2,1,1,1,5,8.87334105073478,2.48206449351175,1.59589102576968,3.87790593611537,2.35475849993851,0.000417994595517026,2.91035349395685,3.44664940794347,0.601891861089449,88.0818332132838
15,2,1,3,2,1,1,1,5,13.0112186281426,2.97395641988259,1.87060126428483,3.87275539020868,1.9093580959287,0.0358643447727397,0.586707475870347,1.55447483268523,0.627502967088065,87.5689570900805
20,2,1,3,2,1,1,1,5,15.3390416220404,2.76493113098459,2.66394395245739,4.340518128674,2.86145947473269,0.0199791009019466,0.758542272861975,0.623117979065753,0.585459062378591,88.2552449890476
25,2,1,3,2,1,1,1,5,29.9256547143623,2.88865323465487,2.05030094203609,3.81290837195963,1.93198391230925,0.0195246926028573,1.12881289249411,1.77462665817741,0.637812930546722,89.1034564594711
10,2,1,3,2,1,1,1,5,5.14483440849257,2.69442277927142,1.59767752558794,4.43182767227082,2.83065656119653,0.0157156083418613,0.266864437506891,1.27379617797776,0.608593496889257,87.7543436833305
15,2,1,3,2,1,1,1,5,12.6422803782887,2.94664639698181,1.82271875853244,4.02648481091349,1.92475026794016,0.0018775463160869,2.42159755278017,1.96687823606471,0.655306491060152,87.503785722043
20,2,1,3,2,1,1,1,5,12.8649382315933,2.75077947094799,2.6161259163315,4.62957577188008,2.56109154585195,0.0242400080496327,0.995057818532027,0.980719704341458,0.618187697302542,87.7981846791873
25,2,1,3,2,1,1,1,5,17.5671614859085,2.99775101204087,1.76678695788705,3.73312706187851,1.55390896084277,0.00725996413738704,0.514669580984739,2.54761661374252,0.615626223960426,88.216520172571
10,2,1,3,2,1,1,1,5,6.11512845140947,2.3206212690224,1.76681306473601,4.34042646209453,2.64133002590442,0.0232228808724872,0.587551367614655,1.19314224764702,0.625375707406202,87.2727608583257
15,2,1,3,2,1,1,1,5,11.6070628321513,2.81364376598492,1.70801066258658,4.74207477646819,2.68380526435954,0.00880894590802559,0.490248889913358,3.44158317684842,0.612389185060029,88.3951968604669
20,2,1,3,2,1,1,1,5,25.6732317899268,2.96507056263213,1.84554838473367,3.98913176509097,2.24611646688212,0.0247794888817848,0.478242996653221,2.45146331356741,0.610036224495978,89.1731852909197
25,2,1,3,2,1,1,1,5,26.9255684175451,2.83847647108679,2.006849149274,4.26626537968904,2.48630165556536,0.0103648303406954,1.50939950753378,1.77386766122037,0.597577257513326,88.9931480628277
