"X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","intra","inter","sigma","X0_opt","Xb_opt","gmax_opt","pet_a_opt","pet_b_opt","C_opt","alpha_opt","beta_opt","intra_opt","inter_opt","sigma_opt","NLL"
10,2,1,3,2,1,1,1,0.5,0.5,5,7.84365155764991,2.46628448942788,2.1871247666623,3.47003745652971,1.2579928935141,0.0140179068151182,2.27796918656391,1.28194113609754,0.585220583442858,0.00726198397840165,0.536467558704826,51.4190156015815
15,2,1,3,2,1,1,1,0.5,0.5,5,12.2659714406919,2.48521876680605,2.10990112545053,4.97896979665298,2.9265474667832,0.0915604836743955,1.26703741140043,0.968755078035884,0.258867154176753,0.0508727671275129,0.535639404528668,58.1344100407602
20,2,1,3,2,1,1,1,0.5,0.5,5,16.5046333478935,2.91598232630316,1.69564090905427,3.9557513481927,1.93942357754545,0.174751879079875,1.42805468182402,1.77407895641157,0.164241959080777,0.00459607688762748,0.589426291922436,57.7727104768108
25,2,1,3,2,1,1,1,0.5,0.5,5,25.3761075059791,2.73530234756296,1.78675771924612,3.56656494439655,1.6694932744246,0.0386481115378881,1.2981263244033,1.4756843486988,0.557283561842116,0.0282416778071301,0.498626897751362,58.5011012708169
10,2,1,3,2,1,1,1,0.5,0.5,5,8.13868326400315,2.32236363665973,2.07242877919685,3.52053058202809,1.72110736882406,0.0193967698757784,1.36448349682764,0.624703131980462,0.880200766314026,0.0494826028426043,0.508863736481444,55.4160771541518
15,2,1,3,2,1,1,1,0.5,0.5,5,13.3532646352324,2.8404005553328,1.50157694689269,4.19408110783,2.39852967245909,0.00502287854024746,1.49708011373082,3.78300819248073,0.812896565463071,0.313641902239211,0.519434731885745,60.1419758578296
20,2,1,3,2,1,1,1,0.5,0.5,5,21.0056203953847,2.75717516677438,1.63242162424782,4.38571693105117,2.64596468978573,0.00859704494570075,2.71293740655654,2.61370758631086,0.258771492830216,0.00877381339895286,0.530490356367647,56.8583745770112
25,2,1,3,2,1,1,1,0.5,0.5,5,28.303241031717,2.45861576463663,1.93637172301616,3.50152272573302,2.89072003173452,0.1580466619689,1.19717047463905,1.36604642456171,0.24510385473041,0.00436748293025938,0.573053182667222,59.0314958410048
10,2,1,3,2,1,1,1,0.5,0.5,5,9.70938112285788,2.65593254905858,2.27116612638457,4.21472480391877,2.69923040417855,2.53134652105048,1.03434361807772,1.07124577068724,0.0216323224402006,0.00240510253398562,0.534139143347771,60.1482050231164
15,2,1,3,2,1,1,1,0.5,0.5,5,13.2693929048089,2.89164681574156,1.85427217923621,3.63509170104355,2.91283979839307,0.0296579665387809,2.35515615795049,1.53214329538434,0.329263622624593,0.0203442891812337,0.461944235088936,51.1553770827925
20,2,1,3,2,1,1,1,0.5,0.5,5,15.3531951170597,2.76293808670596,2.33032329184942,4.26681829691545,2.92538693907174,0.0550634455414952,2.0882915131297,1.32983148169339,0.314168135905379,0.0239125075371875,0.560254308102627,53.0679094095022
25,2,1,3,2,1,1,1,0.5,0.5,5,24.6930285876478,2.21749681499708,2.43350498161593,3.18647533505009,2.42837245668643,3.04972543449817,0.982677513086303,1.33761572366664,0.0255894677238603,0.00351709218923843,0.537168793647881,63.7591533591526
