"X0","Xb","gmax","pet_a","pet_b","sigma","X0_opt","Xb_opt","gmax_opt","pet_a_opt","pet_b_opt","sigma_opt","NLL"
10,2,1,3,2,5,7.57468040106141,1.8876683238293,1.5411143634825,4.71253545383156,2.65621675116938,0.533597175487064,59.9268532674064
15,2,1,3,2,5,16.432914160665,2.55269628816826,1.57384993738505,4.28080034285614,2.43483755411584,0.54540646837422,60.3162373068116
20,2,1,3,2,5,13.5056225412102,2.47240975022208,1.51847458423446,4.19572337431275,2.40779635694319,0.54760408702687,60.1969862719229
25,2,1,3,2,5,21.6583388989086,2.79370392942769,1.61591896057828,4.46777413817354,2.72152391382973,0.537542761952546,60.4349665534861
10,2,1,3,2,5,10.5556353159446,2.05913580801199,1.49991041006806,4.13793989285251,2.15912483200356,0.550188826290792,60.1756987234926
15,2,1,3,2,5,15.7148286790899,2.64214231067336,1.56286368783879,3.79376798220823,1.74637006825903,0.558259569471993,60.2767573351065
20,2,1,3,2,5,24.2434340206691,2.92675549077163,1.62538535706935,3.8371255005409,1.87164454827664,0.540211700975886,60.4185913883519
25,2,1,3,2,5,21.0896434198953,2.75269567553325,1.58405831065792,3.81428300360818,1.80309267420339,0.54838192359649,60.4446094386611
10,2,1,3,2,5,4.98729836895537,1.24195166924413,1.52444218413784,4.26572916906951,2.33146549209656,0.526593216032522,58.9728916754466
15,2,1,3,2,5,10.3151943340218,2.18931458972477,1.5973137095357,3.70374225364446,1.4288555190783,0.547968411046524,60.0928491991739
20,2,1,3,2,5,13.745825265814,2.72592263153179,1.57954437300891,3.69060434562532,1.51409859016429,0.554796328363347,60.2516557957366
25,2,1,3,2,5,24.4360893054951,2.93279562971022,1.59810600066908,4.34678900615008,2.60250997431011,0.536422128417301,60.4447868532281
