"cv_set","X0_start","X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","sigma","NLL","mse"
1,20,21.0548844522194,2.59483578321381,3.70546290059961,4.38861124240076,1.91041731138823,0.0174060790257824,0.803519165182941,0.462794798434198,0.949153766377817,327.201564541217,1.13959403275846
2,20,21.8581103372621,2.79366230926575,3.99494232268855,4.17382340146459,2.53150665093861,0.0126306141442274,0.83465392789115,0.276246727240498,0.957162363206432,324.538511816806,1.11483695293646
3,20,20.2538219474612,2.2376621767375,4.46032419114756,4.28869314586821,2.09721075327766,0.00875528503111748,0.923345173295978,0.110937783734812,0.906425152274005,321.412869540716,1.09454874616433
4,20,17.7689800253044,1.58272600609696,2.47101321855116,4.67522379904328,0.990996698628614,5.20540369156192e-05,0.809931940169522,3.61371994852363,1.07948947748973,351.266458185381,1.37326796730261
5,20,16.7738336731316,2.01669564730109,3.69744117905409,4.39466471078257,2.8868403225923,0.0102891818928598,1.21770314172997,0.532698456502664,0.940150340795575,327.966410265218,1.13667687993189
6,20,18.7931979313393,2.98238284877194,4.56983925745759,4.39088983126378,2.71747932156234,0.0152918084346978,0.739944852811319,0.188668107215257,0.904760171455444,322.60328362713,1.02115585854363
7,20,18.7774415587833,2.15762391320803,2.00768297996848,5.02255880195844,2.22370591135401,5.54024551872392e-05,0.8182925266085,3.558092785074,0.997764905583826,353.993621453065,1.4429175685677
8,20,19.8332488360424,2.12622256911933,2.81229445714599,5.74379457699186,2.54451869535867,0.00422688703099651,1.47419846067712,0.583810382902356,0.978105156837326,343.02777767514,1.33329500806756
9,20,19.9412643779271,2.30646277902723,4.31370809876196,5.53197212159346,2.60762778892933,0.012629553948556,1.23940740609369,0.559688721317609,0.897061771522185,326.717620391151,1.02019130559253
10,20,13.3811418828763,2.94403899338662,3.49902791300318,4.65032731171811,2.47338452583092,0.00833720505957734,0.940406086548673,0.194566415585483,0.970497254773689,328.061068643474,1.19793204451201
1,25,27.9482595821955,2.95827125451046,3.05923473668632,4.76603768752536,2.43748940547243,0.0124421483220672,0.903080164666433,0.544745652497474,0.980795845269715,333.42476660446,1.19079809208664
2,25,29.5387982452237,2.20874319145706,2.96101731425917,3.73428270882565,2.64424349357724,0.0221982916575638,0.627161175816612,0.842341755150687,0.939717917970521,343.655618308643,1.33450188813143
3,25,26.5713311935612,2.7027508979018,2.28413641109485,4.78368739149304,0.84330024102421,6.96927956618998e-06,2.63913820634938,2.79000105306562,1.09612128458763,351.96034216013,1.50074694942045
4,25,24.3174740572416,2.13187059434521,2.13290587691402,4.96340500664474,2.99096680484695,0.000109971415635205,0.43306025475095,2.98417572081305,1.04163000024548,352.673603656241,1.39838754437999
5,25,27.3026181037621,2.7758682773276,4.02370393072471,4.49715905079933,2.77434693255996,0.0123350791226436,0.946027468716701,0.316664957234563,0.973349125629638,324.638043190305,1.12023307823508
6,25,26.6258769734331,2.72718942782049,3.46837357639576,5.20296639747392,2.84932615760259,0.0103424338370469,0.964472809447375,0.377249270009971,0.911586335228667,329.990677398002,1.12103655026969
7,25,25.4012306430204,2.29293764894998,4.77322465230042,5.03574752474539,1.86173100394703,0.00483370317370668,1.20600999387893,0.0830994781467947,0.918347464131453,320.540289221815,0.930795484213196
8,25,26.391130485356,2.11966690902614,4.51336696332516,3.37494628964336,2.94719306247021,0.0178990563738092,0.805649420234112,0.464963692375271,0.925712829578717,326.219473541686,1.06037850192778
9,25,22.0162262517362,1.82255052381648,4.01963357080338,4.27236163273855,2.42883042310551,0.00671587970191177,1.3081422093253,0.467332876366622,0.902883734091109,328.799747948085,1.05607545399473
