"cv_set","X0_start","X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","sigma","NLL","mse"
1,5,4.45872512552251,1.14054363257676,4.76081512973,4.2386516593721,1.06264919074973,0.0585441981407046,0.798970301284024,1.08211591091637,0.93878907073253,1544.91649991736,0.855978742371663
2,5,6.82198953650756,1.43331044493145,4.76815222310084,4.32205667757424,1.12236971605697,0.0438959188878242,0.740554775872505,0.91732729469074,0.949907311016592,1547.66341666078,0.871259565123856
3,5,8.25420096362242,1.65928870708511,4.60212239444102,4.30830883779179,1.15659302596559,0.0430510977963484,0.688615247216816,0.877795594331788,0.868113949446645,1554.32005291464,0.895185671087284
4,5,6.16457490505608,1.46673052362467,4.28373196714319,4.50557641472266,1.23457962573847,0.079056103381685,0.560141260898476,1.09732266428284,0.883489921919923,1554.700602831,0.919060749378198
5,5,6.25523731923945,1.49364370151049,4.28859897841945,4.36872511318972,1.32522706352664,0.073491752040483,0.690983849629482,1.17574188258612,0.888377348996343,1552.42494428035,0.895162561755964
6,5,6.45821661774746,1.50487810017912,4.54120016454512,4.26646034767925,1.07796714671307,0.0435386759709668,0.878365004120824,0.996060286484133,0.903322195205899,1547.21020722907,0.858562386479571
7,5,4.62182073960642,1.17083998672262,2.3147022461747,4.23144389437387,1.23629111066746,0.00069001976429707,2.98379932452755,2.86120957288702,1.02577105503956,1640.28441794269,0.924588909942644
8,5,4.87849046751555,1.22395634695813,4.42798865133529,4.28020422042373,1.15831078127187,0.0583048377425291,0.587792534605966,0.984142907875572,0.922632698702587,1546.22680816929,0.889933807548074
9,5,4.67174342566274,1.17269024300818,4.39143219767667,4.38383033637989,1.08526421281432,0.0980076399819139,0.629103565478551,1.26305292375804,0.90131514048199,1550.33585160696,0.885440689912246
10,5,5.01201214452997,1.21359688456298,4.88007100665855,4.28285129962915,1.11830868943151,0.0482498638118139,0.828404771017897,0.9731561200887,0.939641654095754,1540.89345213381,0.851694507472287
