"cv_set","X0_start","X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","sigma","NLL","mse"
1,15,21.370454893505,2.63801304151382,2.85581679872235,3.1334976309702,2.07524862362574,0.0196038751667849,1.6352695197571,1.26209892263104,0.739090290931222,229.672190853417,0.656603242091237
2,15,16.6527367541709,2.42241744865584,1.69935434709784,3.2953212446622,2.50870470094882,0.0151304588683672,1.69596441830526,1.81415613794419,0.701385856380853,233.666121996283,0.67737364576395
3,15,19.9465807540707,2.83090678495214,3.17597348439027,3.42331954975481,2.34716804612581,0.0469456439364964,1.04913608728379,1.07611807058641,0.678237168710556,229.975898581192,0.653083279418351
4,15,18.5037330092893,2.21344340156141,3.1625450296802,3.28656834943179,1.71247445573537,0.0381956564296487,1.08002216215153,1.08117632638997,0.704684590623147,229.81981368966,0.669374107833007
5,15,16.1653930830456,2.40236741750049,1.87532891447003,3.35806301646725,2.80053573460089,0.0371721625695765,1.25999694317699,1.83815070988353,0.721856399643871,232.869167422806,0.693852888027939
6,15,13.175645512393,2.37321822658401,3.14665884247451,3.5443796983148,2.08807301514595,0.0625282083749173,0.81503594341147,1.02717031984808,0.739633663995642,229.93661538275,0.661387905400146
7,15,15.0901445647255,2.51772862408077,2.68848015051839,3.40743881059271,2.86328683307925,0.0211873859966808,1.47828806095498,1.0841657404094,0.704434407029599,228.579989034649,0.617413292413027
8,15,9.71825500310939,1.49732307154137,2.44977866228721,3.07862875362669,2.16948811454651,0.0860842609045279,0.597907939577895,1.35222848040092,0.741179572274165,233.48623047516,0.705929460780512
9,15,15.9412698255296,2.02355800236652,2.6219949336041,3.69960609789287,1.78207508733546,0.0634567940744818,0.694139571482308,1.16498712403951,0.719613374906018,232.062079376291,0.659771240589211
10,15,21.3031084643904,2.78686790295103,2.67739356654795,3.27617405729943,2.47448179571249,0.0118755696819916,1.90760281591035,1.22799735265321,0.742589023303423,229.674031104392,0.619458468820305
1,20,17.0567682471403,2.17673732114015,3.88323270229149,3.60019546621832,1.69836824832014,0.0632801696379592,0.785350871560894,0.977545014312077,0.714911213047716,230.497106256476,0.64796374928679
2,20,19.0141747454254,2.67147823097332,2.96614859641756,4.08751834442287,2.72891266105533,0.0482096990313257,1.0260875635499,1.15297170540279,0.716932649397876,229.983471713311,0.618814477982627
3,20,18.2848759567988,1.97071092182336,3.29726484699135,3.41627503346339,2.22735727669327,0.0795978035524828,0.678884937064319,1.1527119156925,0.700790732363677,231.278584699934,0.663766060319336
4,20,14.6357072789492,2.64217006262311,3.51820858582138,2.44213851930554,2.61176530240915,0.0199658382158734,1.51008387385458,0.966170058113017,0.704265351900702,229.43680661628,0.651966700108929
5,20,20.7806436435053,2.25860904319508,2.55958666007231,3.23908933860316,2.70879158008563,0.0358008694691544,1.1364641267744,1.24846736552771,0.734462568034442,229.795623632776,0.644951815968847
6,20,18.5190394908032,2.49371720939035,2.22182469674505,3.9718719531866,2.85145709396414,0.0201914252140732,1.61073501253886,1.48945381029122,0.676319068494259,231.554679496404,0.61731995813744
7,20,20.4907057242074,1.87114429178615,12.7820622219938,5.27505818633013,2.98444628093914,0.0615641228811327,1.02928775514182,0.785006397124847,0.768942842189993,250.143420241199,0.634812091148293
8,20,16.1999310419236,1.90829853454454,3.65899353314604,3.22532986421637,1.3423286867673,0.0237995528561641,1.02829828887449,0.677394226742416,0.767218743153009,233.180539260784,0.702183407930051
9,20,28.2860872760771,2.70955232972224,2.91632550794411,4.14827039111394,2.67790206495054,0.0172596675335266,1.56530610953711,1.11030894287055,0.730996792810286,229.907656867903,0.576910366675983
10,20,19.2126125746204,2.71684792866627,2.32549727382841,4.04797823094763,2.49833010812613,0.0584241178020818,0.881374213204429,1.35060810486042,0.718667323544232,231.597067239958,0.654630463394004
