"cv_set","X0_start","X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","sigma","NLL","mse"
1,20,20.8185131274863,1.9101999599388,9.60671433265164,4.91284746091506,1.30425608932543,0.0111181969686498,1.47934566730655,0.54097734279416,1.30289754024838,187.812384690234,3.1548371862107
2,20,13.8921167997613,1.97008436567007,8.78483549911583,5.07167883003171,1.96416551433664,0.0266315255918209,1.54626016553491,1.01721903458511,1.43125874353064,190.965936601105,8.12325374788926
3,20,22.2135858964792,2.10519477515168,6.93828584698946,5.4911965924501,2.89363079091234,0.0110097555322759,1.25275873764019,0.470257492993518,1.47151326972172,195.623223267514,3.42930071684725
4,20,16.1107861361935,1.76748191720054,6.88071356749013,5.16275878866806,2.27462603012802,0.0116100593636795,1.59432046495091,0.814029987029957,1.40433568893722,195.214907004483,5.65229597511414
5,20,28.7632437413004,2.1280062955511,6.29885481172625,4.80190947773784,1.67308915446204,0.0205906820888274,1.57098931009002,1.14288571590912,1.64016005029267,199.2608481619,8.08380423715084
6,20,16.3678107341582,1.87942438457428,8.48849457300536,5.04954963705694,1.54614926327602,0.0143777518002718,1.46462108100883,0.660944948513236,1.51734710647495,190.719927098824,4.4883879107998
7,20,22.4900474113595,2.46123371432662,9.03942944114777,5.03666156383657,1.76029471821828,0.0137055414179449,1.5484678486919,0.707786932415066,1.40560853775595,189.966707113725,4.818898453626
8,20,21.8997582973537,2.0308566551033,9.3499247156464,4.80553058878877,1.50145946441668,0.0162244114383545,1.40682034918373,0.679538184435324,1.31063542546024,189.70079403449,4.63546937258814
9,20,18.1430307763871,2.64555245055554,8.90693376912111,5.13012362132073,1.32417339650113,0.0132811867490325,1.40316247557209,0.529356618755835,1.36619844998145,190.195992896056,3.58029801573393
10,20,20.2958911668119,1.84866804085128,8.03552500216235,5.89734575677897,2.65237269725767,0.0169786173191217,1.59489070476857,0.995249595490607,1.47521784969763,193.687137900713,7.80046555195271
1,25,24.4920999842743,2.32713830271372,6.80441791221706,4.79347556179515,2.40237408062644,0.00615639284375532,1.48914507422063,0.387266469063164,1.51714173058826,196.200821343384,3.02295224441465
2,25,25.8820645852193,2.86312981365863,8.96548616162363,5.11831278885129,1.34908720091687,0.0170495277425806,1.31592958124163,0.596636213640787,1.401213290747,190.085343336357,4.18099045269242
3,25,29.1581539210808,2.36320652480683,8.17821452423954,4.85677161228749,1.10344684524699,0.022303486523257,1.496913632814,1.0258309014843,1.51848309383327,193.005141641953,8.10903136062329
4,25,28.635338735592,2.40781292489737,7.5294525344303,5.14902422937461,2.72303523715266,0.0229734038754147,1.49912711809033,1.01172093715265,1.51506155839087,194.654943414612,7.96921854442548
5,25,25.7217928823671,2.80019473076502,9.66960270013714,5.11051427017264,2.15259801893717,0.0245164509280315,1.42756633710204,0.810863302324755,1.36881196319271,189.612530469635,6.80523154812532
6,25,21.9811200487332,2.5411984250421,9.09020675875686,4.93805433552872,1.15874891311306,0.0326154324845397,1.40419650054468,0.996665867365599,1.3330843135415,189.994380895714,8.17794301259033
7,25,27.5341119516887,2.81204607894033,7.8508650035052,5.03091834540987,1.84430523313799,0.0170923690349325,1.45835500517544,0.791940971368638,1.46985410430786,193.366952235865,6.01634874128739
8,25,25.6081388643583,2.10628993176721,7.32639316859354,5.43206006474591,1.95601822275813,0.0393399753740156,1.23077794893139,1.0777778579999,1.44918438682529,196.412059147546,8.28670745819605
9,25,20.6034877439164,2.22845058157721,7.2534702711663,4.92085592546919,1.79047882679985,0.0183782925783465,1.3304828991695,0.7657328172775,1.50400726343364,194.453371631551,5.74092225818259
10,25,27.6418799926837,2.50113601401684,7.93652171761446,5.3092947115255,2.80062439135648,0.0164833985299667,1.49261228433008,0.810979285542485,1.34853381449374,193.681562535541,6.12898742778428
1,30,26.360821018746,2.15671751625841,10.8263052029502,5.66157863113394,2.42977282205113,0.0324564779674853,1.35666842800741,0.955644678493382,1.49577413108286,189.449156557023,8.29088494760563
2,30,28.3901152691228,2.57620673871354,7.51066662520285,4.87586405726073,1.32400955252732,0.00750805830921431,1.31305599482686,0.325171277063838,1.44818072909816,194.092700764585,2.82642833081044
3,30,29.5096340494383,2.78858327791787,6.98077816497947,5.14491996518166,2.19885414717674,0.0119985611297683,1.43674046041848,0.627887912589347,1.44660636937742,195.980384718156,4.28153414024346
4,30,29.7575051626253,2.32521219323078,9.03138495687241,5.88726806168507,2.4185924488851,0.0139368643259468,1.42176274465009,0.670770926132259,1.4669322638384,191.332342678068,4.3944086397978
5,30,25.2633044353494,1.92187148927881,8.12613939335524,5.14402661407127,2.85327046723042,0.0191399711920604,1.50530245863465,0.893921586822621,1.42915487308954,193.053659183888,7.11442693755823
6,30,29.791091917705,2.75512348589574,9.14284579154487,4.88366511293853,1.00426856999029,0.0357164502187321,1.36788731166418,0.969788852010581,1.52488633030446,192.719416831693,8.02206330994647
7,30,28.8803123988129,2.13317151546726,6.3892915358933,4.91021101696149,1.47287753268991,0.0114116987175319,1.17074312368554,0.514903414699792,1.43217635815035,198.295071408938,3.63225962914619
8,30,27.2394465154488,1.95387162050982,7.53850131105522,5.27219846679718,2.28908468228809,0.0231141169404924,1.34357551347082,0.95635816741096,1.54820989225196,195.456710180157,7.71150478912597
9,30,28.3006903940918,2.46467327095943,5.34976587841622,4.77722634162039,2.0693914693878,0.0272868771959412,1.3408439271381,1.15208358573275,1.46917714852026,202.065679526548,8.07516894672225
10,30,17.6981900885454,2.24174680238283,7.37576200161527,5.25651692115378,1.40248226156775,0.0189414273114595,1.33505255774885,0.774677724694186,1.61543923569343,194.965570700755,5.89621669800412
