"cv_set","X0_start","X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","sigma","NLL","mse"
1,5,4.54884476145647,1.58738242566678,1.48248354208423,4.2509455160293,2.82151622719636,0.0938191472265057,0.193068572945319,3.05760061636226,0.562534156637499,70.2968415738527,0.898520897305442
2,5,4.13223074384422,1.6064984945417,2.80124035133419,3.58334209540517,1.61900198050901,0.0294574305748726,1.11138137902316,0.919146146789336,0.561852336973256,72.2544617237704,0.842404488103647
3,5,8.60536856948641,2.63989311233926,1.41421865114072,3.95287728275825,2.4605443638858,0.0563608415551842,0.105119864602081,2.29429932729732,0.556076249948662,69.4140890491135,0.775751262782677
4,5,8.11656321403184,2.21978073138211,1.44975081592105,3.52536732845514,1.87285411854814,0.0228128225045899,0.832639606566737,3.6925004598237,0.537367582761891,69.1791278630901,0.815911062761613
5,5,5.0670518447522,1.77183266324009,1.63852181592723,3.97583514161281,2.904762063609,0.00501539462080225,2.06189082174354,1.58598229038609,0.518350751208737,69.3440564206345,0.680488648204786
6,5,6.69868558952495,2.33982137631576,1.54017849459382,3.65932447844297,2.21747963926608,0.0232904976505476,0.758555350545315,1.55336153557818,0.536423615442096,69.4797291425322,0.737829447026626
7,5,3.35089897441418,2.75872353083361,1.3045130557354,3.69540440407873,2.18064837216056,1.87926488549023e-05,3.49199257439559,3.19094658788234,0.563933106054458,72.183359787762,0.667769663467287
8,5,8.18855171300905,2.56679382490077,1.65715324550664,3.49345458505536,1.22824142985914,0.0886288892697394,0.359451467097298,3.30186344145037,0.530768357939582,69.0378339777773,0.932296506380726
9,5,9.0215991505119,2.77794907096162,1.53023645871405,3.54949471977883,1.65467252639198,0.0568624349384223,0.226557673890633,1.9874833087982,0.544725666419356,69.1312619121113,0.795300566192674
10,5,7.82924836698399,2.33625514831372,1.56935929877284,3.4848532297686,1.46146274154956,0.0946861455851752,0.162576585480625,2.76936052011865,0.511636278221496,69.1118505415768,0.89516919850174
1,15,17.6878737275213,2.869837925262,1.936299734312,3.46536994167707,1.03174298969862,0.00814485686006875,1.36305342850221,3.47821409845548,0.569237854884151,69.6559347957763,0.72300122027534
2,15,12.0641008143924,2.63340490323982,1.59281365952739,3.54946330305594,1.44958861966772,0.0269405983306172,0.750508890948782,2.78277503543817,0.541313097507919,68.9551433218515,0.77856072603244
3,15,10.5983893597026,2.78075347686398,1.39688932584119,3.8399556536973,2.65499212201743,0.0526785143173168,0.563805222275689,2.61469052113118,0.534065284296069,69.1261432843931,0.858546456824532
4,15,18.4890470608854,2.835487737433,1.54895006698405,3.65322048506282,2.39040160899816,0.00778197483848434,1.36849599648981,2.20860589352263,0.56393460912776,69.4302113491711,0.720334432397109
5,15,16.1293853816868,2.86918045976221,1.44039474328404,3.7019848717286,2.6356942573454,0.0157138696607882,0.975346761625848,2.91662505485355,0.541601145425652,69.1001529309426,0.769810173277989
6,15,13.9272404366338,2.83875835821607,1.47868692216638,4.07171380040545,2.7433053665011,0.0595545364744809,0.342516316125745,2.28502531513439,0.516814460525392,69.2601114408041,0.824202862775659
7,15,10.5551290984283,2.41644986781356,1.69055661762923,3.42573356917567,1.26610972078776,0.0299459708986736,0.794834713786274,2.49061049175229,0.54262420684911,68.9798331238447,0.815192163179654
8,15,16.6472761577148,2.87459329169051,1.57455497456413,3.94295485331078,2.6401444630544,0.0790612402475394,0.292889073044485,2.24750966549764,0.558925732300561,69.3752624041737,0.849884791924103
9,15,14.1336076081024,2.98796112470244,1.42205295164151,3.86230134280136,2.64389258954836,0.0472652040898263,0.168731465947795,2.15238551559794,0.525618884124231,69.1592902327016,0.784919137180127
10,15,14.2676459701521,2.80483679447691,1.62534537590248,3.50434662472798,1.36915395744816,0.0566503526973019,0.603341902080229,2.50084211587231,0.531098472277117,69.2680110652412,0.892325128119008
1,25,23.351347055966,2.9994185984947,1.77173906426251,3.50543845360434,1.40282166587394,0.104084880984254,0.150268065882618,3.06845997486289,0.51738515981289,69.2073143963404,0.918438444765885
