"cv_set","X0_start","X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","intra","inter","sigma","NLL","mse"
1,20,25.6661554723378,2.16280720166293,7.76032655646116,5.51724064753233,2.67615248277719,0.039378900754191,0.980860856292983,0.0969105441747349,0.590498768063549,0.15621955542952,1.70267420654419,194.99665936892,2.12573461048283
2,20,16.4962331015451,2.05914054946085,4.40273423533538,4.81396008914047,1.92535081438241,3.29703772831606,0.162604017581089,0.74934487202972,0.103049231044684,0.00228644411013957,1.92787054389114,206.037863687244,2.92385704087075
3,20,18.8953403312103,2.63087579154996,5.70632020674565,4.8972502047076,0.704081576929367,0.0646612162219292,0.712491393317824,0.382912582471997,0.911936754212019,0.0714960869043063,1.90491875770772,199.927685458209,2.61952802299229
4,20,20.5681764766259,1.71773966664519,6.90539596113729,5.00999001601196,1.61441750948597,0.0738676832258799,0.749616620984207,0.322782876277792,0.93379455712523,0.0797514661587638,1.6568035767063,196.704121721805,2.08604128962696
5,20,24.7530233106997,2.2851420511764,7.02635228393352,5.17373162047743,2.07961279628797,0.0462333965062597,0.901063360215917,0.0127339901133149,0.574683181501929,0.0904053752348197,1.60076653444092,195.524371191621,2.2220622053902
6,20,25.9243229659145,2.34517484082851,8.69903417206186,5.31648758594172,1.31585820658625,0.00607684456142727,1.60819527492579,0.119926316434581,0.739081312259647,0.37894685598239,1.69013860616555,191.72158817691,1.87000617910843
7,20,19.7037774926592,1.70449253760105,6.31245484279678,5.50733560663441,2.73239841957555,0.105760742891588,0.509245418663589,0.382109365190393,0.928989187309149,0.0650478080739548,1.84536390447509,199.981156064965,2.18997967970287
8,20,25.8634067529167,2.34411953899384,8.64159963187455,5.41228685951321,1.45865631740404,0.0809971701351953,0.843072007747203,0.0809502174408101,0.452370277093921,0.0733801977638211,1.71982807238352,192.66157182208,2.1658151777029
9,20,16.2678657779973,1.93821499164628,7.10483903987567,5.50113481884484,2.47474381904028,0.0541913296838006,0.996244485520488,0.00279475671686069,0.376326192586853,0.0849905725568427,1.67264449146657,196.139839894489,2.23382145638437
10,20,25.7374600541024,2.09478173638623,6.30963619425579,5.44075407114061,1.79318663024463,0.155445389447432,0.895818054651844,0.363484888931649,0.238671395491879,0.0371158902500794,1.7405185203106,197.831494689452,2.28167335545247
1,25,23.5720759179245,2.6659899918173,7.99114035736746,5.36997083668245,1.67541143745116,0.0188171437926356,1.19822160348191,0.106164864617088,0.924308946093812,0.187428276165788,1.66752850204829,193.472036492601,1.98448503715187
2,25,19.5944350625923,1.72747398341044,7.53085988606896,5.08923947617432,1.82999838586845,0.0230572175214632,1.22364039161452,0.358502256141111,0.907329053861168,0.227144981531131,1.63585429322114,194.118691524089,1.72416114660058
3,25,18.0547009244178,2.34229527774366,7.10162166554717,5.53984535643283,2.12621881134538,0.0409091070785202,0.776729350274789,0.15877721969871,0.81115233242278,0.187357686817717,1.62720073987754,196.483606154646,2.15816980544194
4,25,16.0356761367073,1.73666004280211,8.36737778903093,4.96603635084977,2.98727924122418,0.114428467972922,0.864592228726668,0.183576867726982,0.524968176070543,0.0667824301477977,1.52406724159096,195.548792012459,2.15349040054563
5,25,23.84909959458,2.0722985768887,9.14102397889522,5.18758829545317,1.48473500658401,0.0351590376541825,1.65032134666057,0.203217442099263,0.199940429625658,0.0846655958624593,1.63151130756223,190.491130211197,1.67795503305589
6,25,21.3146005564029,1.92171282847562,6.23896228573636,5.00239087701109,1.17087498781836,0.0142772112104982,1.34426874502534,0.310670783576123,0.931914590169872,0.20444379789686,1.7479144561592,196.483900210371,2.09386511923889
7,25,25.4136916214349,1.94875727916836,6.5662512944128,4.71570353782571,0.967226520455739,4.28345002116484,0.371527795473672,0.557798170454104,0.0633973854798036,0.00206287495724597,1.87519761437085,201.798449773613,2.64312095001084
8,25,21.1585567979777,2.26785323711795,7.67628775620073,5.11592781779952,1.48395125713948,0.0331472638145781,0.885136477515801,0.153483404326347,0.874103935038473,0.214047745195137,1.76931143997328,194.029440964799,1.95649933320727
