"cv_set","X0_start","X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","intra","inter","sigma","NLL","mse"
1,25,25.9729392757018,2.46742206006953,6.23036924764583,4.20427336264891,2.87063313149091,0.0300799764400277,1.40077963412656,0.577706542404797,0.480326451252273,0.240954363821748,1.2733861103515,1567.36576773724,1.98827639356382
2,25,25.9472108830368,2.60696712275915,5.39363382302233,4.48236314817509,2.81560425242436,0.030770381912619,1.36478639240335,0.898625094206766,0.872240537979355,0.448293815449362,1.24185849800114,1570.98747576227,2.00073301379115
3,25,24.2379622151887,2.37628841967665,4.90108034534336,4.29303361184213,2.95644387093672,0.448636078982508,1.41446326770729,0.838041601811742,0.046436141979203,0.0147613869550043,1.32859399945395,1575.35270196972,1.98799808959728
4,25,25.8913083466094,2.5809886652697,5.55613928532563,4.69101137690873,2.91688372865657,0.0860968028490033,1.40790824942293,0.858582049650924,0.235212759173752,0.157386531769102,1.27893081817416,1568.92199180897,1.9869109703338
5,25,23.2540991096531,2.70048216443391,5.2191274838776,4.63240149642544,2.18966177652383,0.313099956267245,1.17797837048842,1.04747997606638,0.149515334062408,0.0787909477725474,1.29667828430533,1571.30366780079,2.0068858633731
6,25,27.6970440961116,2.73100215001728,5.2210716586993,4.78080994051659,2.34501526040077,0.12936435298282,1.38517210808784,0.835420577317014,0.142563519961025,0.0851348553110805,1.28488970791908,1571.55382187054,1.97927154910256
7,25,23.8782647262593,2.52857804647817,5.02815410094669,4.00636080568292,2.83912201984153,0.0328322217499562,1.25918363986516,0.877479092657831,0.835590328578547,0.372365035263906,1.25111509399424,1574.34484082583,2.00806035486994
8,25,24.366308957229,2.40879216271515,5.07754277897569,4.62411383598562,2.10903776693926,0.0359577762363061,1.06240123924522,0.830876164574761,0.927163450170952,0.454418689386665,1.28743850082732,1573.98767778217,2.01284993347384
9,25,24.9880835574591,2.51757180238518,4.19222232677024,4.98044145339657,2.40292546937168,0.546038931068425,1.5849959696891,1.45106972517089,0.0434943040395313,0.0259450165893321,1.27769134052818,1588.14771274661,1.96627969112308
10,25,26.783394014996,2.82593533639102,5.18167239737697,4.73193340306161,2.91497921048663,0.0688821562792462,1.34323669038325,0.915311649794599,0.353586024780864,0.234117037108632,1.29724069129133,1571.67742182645,2.01162262647468
1,30,29.0981574415327,2.58668233281346,5.62708576831469,4.28577419168902,2.49805626027985,0.340117517314832,1.09734829124097,1.01295311804311,0.154011291983985,0.0674108946349854,1.30541355257692,1571.83491682916,1.99561285083907
2,30,26.7739967435527,2.37737192657513,5.52099401284606,4.489474106187,2.59988517663072,0.0986838356795866,1.34082068823638,0.974315647323506,0.307341402479417,0.132986376109118,1.29896245763126,1569.78043244673,1.94914535657327
3,30,29.9262384824854,2.79859765105335,5.05741813996584,4.24582168634305,2.68526914015405,0.0834017349096061,1.40760899520057,0.868091701790267,0.22904720314782,0.128575002138335,1.30065821659904,1574.50947600556,2.01263265897382
4,30,27.4391390873691,2.44671341252217,5.2724563623697,4.75388198694922,2.07972716388123,3.06634174800508,0.990923254030918,1.25899939748037,0.0258177349951707,0.0109480410152521,1.3334858303699,1581.40819222589,1.96990664523501
5,30,28.9857480429831,2.83584787544526,5.68254105371152,4.784738793028,1.95376283843756,0.035309600471815,1.35919358347188,0.753757457275833,0.558338401255383,0.315841239146568,1.26793342920526,1569.2618228018,1.99644838801516
6,30,28.8466735120151,2.40917622851195,3.46550393985733,4.41559229385717,2.72226618132304,3.77489443209272,0.322224456369291,1.80485414927103,0.0428686177719117,0.0132789247681648,1.338942617796,1605.22730804666,2.11249315911137
7,30,28.1702217513226,2.56780740299774,5.15114447885166,5.15638670225929,2.88931168041043,0.0190833577244051,1.25982395268971,0.688841319542928,0.862869113276729,0.522243036275807,1.30040694336086,1572.25778650956,1.99885089596465
8,30,29.6544452961438,2.42856644503263,4.89332146666531,4.7186862287632,2.99747273012284,0.0256506554085664,1.35426604951916,0.780983462280731,0.605700217564389,0.309721810159701,1.28238858859509,1574.15896489412,1.99084116953775
9,30,29.6574907725877,2.46132975434708,5.21023030125632,4.44019148397242,2.23684579740182,0.0663135919390775,1.15392126844204,1.02219221511315,0.593063968257769,0.277689584842998,1.27853276362743,1573.08107451211,1.98615280826382
10,30,28.9075970545151,2.48748365560398,5.86648397765951,4.50852539551425,2.61549147348524,0.0545864551740537,1.28300561004873,0.691372950324024,0.371652769870152,0.179625067238383,1.30891541785437,1566.9834742534,1.97406494833284
