"cv_set","X0_start","X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","intra","inter","sigma","NLL","mse"
1,5,2.94307729109906,1.86925218378636,2.55608194921518,3.15423537525677,2.26137651025484,0.0396778415266745,2.04475336621114,1.23640512711176,0.501848056318559,0.0642101012594362,0.630636445698636,74.2724595697844,0.230103700853384
2,5,7.38371969006383,2.58501522987288,2.24633453062737,3.13400731830786,2.80379612126195,0.133709528703912,1.74156510271844,1.45756155816463,0.36216112627212,0.0357906548921919,0.536763312787256,74.6283872562832,0.246543985923748
3,5,3.96655764969238,1.8306598565235,1.72507419848106,3.45686849062153,1.69054111886171,5.17323204569019,0.936692241100441,2.83826829719486,0.032724580060663,0.00356522693644173,0.613676655008025,84.5050386208758,0.25171923773283
4,5,4.69227331226289,2.34000605151788,2.63513560158386,3.16963614205337,2.15805987870142,0.0287126342766294,1.99965936220503,1.20026129240635,0.777317729753209,0.116480726233375,0.607174689383396,73.2319905514392,0.222632368685124
5,5,5.56172430118273,1.98374178285638,1.69323196085999,3.15853472434804,2.63177143112821,2.21784717346123,1.30338163116538,1.83829249032013,0.0270589923812738,0.00228316848326674,0.648525509730502,79.8507096202618,0.285415440187954
6,5,3.41293858388784,1.56310580120147,2.09655897061758,3.0175655049788,2.80706719008382,0.0689751376383682,1.7438674667498,1.4168640543964,0.558312367287915,0.00498947599928449,0.579663487420734,73.3489788305803,0.245261366850959
7,5,6.0892719155264,2.19985407029113,2.46257425480223,3.29432162898613,2.47655664303941,0.339887482385764,1.38648815399293,1.21184713425003,0.197083440908009,0.0190762947143434,0.609390936543504,75.9174954744892,0.22497332456176
8,5,3.25287187929865,2.72478550769904,2.01509940399841,2.7464330762269,2.89625322358427,0.0527241713051132,1.96567935075641,1.41388432538743,0.560174644416071,0.0103182710690423,0.507536084813152,74.2447692406904,0.222959580277339
9,5,3.18500877494409,1.8054319086898,2.14282953998597,3.05313562621653,1.89005653218453,0.243477612277539,1.94108604331544,1.30266031525554,0.0951751052332629,0.00200343569619957,0.557710450517014,73.3274914999451,0.225603625128861
10,5,3.87730417424943,2.40577325299837,2.18192423874548,3.27064579367006,2.07776331739939,0.0166821621764359,2.3722639681605,1.35602644036355,0.663389597033176,0.0488962845387956,0.597155293660599,71.8938899175918,0.228827602739546
1,15,14.6745794753444,2.72392952437082,2.07377454043034,3.16562961924823,2.67311081666585,2.38629006684403,0.488627584750842,1.15128707791464,0.0671357753396079,0.00142659689342807,0.646981094487587,83.0014767081045,0.311663780356448
2,15,14.2681691436375,2.74506181275213,2.46715521327444,3.09124600773796,1.60556667749724,0.0174528089821344,2.27935093108359,1.40200784398451,0.995412837459192,0.039575242680232,0.616175142069837,75.0426173507757,0.249718415932852
3,15,7.14895325112268,2.72362483130635,2.87886915601842,3.0693084236292,1.82805302984983,0.0235026327377353,2.21140491171767,1.34939343677749,0.931320287149915,0.128817516049636,0.582189598507423,73.2759677590375,0.269938688856127
4,15,19.1572682962399,2.96370370179291,2.78808555438098,2.87108977474457,2.53330881936298,0.142252108113313,1.99287606238804,1.32293207967275,0.217042024052744,0.021714964680458,0.533237251101277,74.8945143603243,0.245012557602773
5,15,14.5197330772584,2.82928941214392,2.11581954720232,3.60191055387096,2.23326803981664,0.015711997818169,2.58210978152448,1.68093812576842,0.570364625353131,0.0835899769716935,0.588417843652222,74.6511719505929,0.246946150004845
6,15,15.7408368202084,2.14729943205731,2.4067654148821,3.93230272567873,2.56291789939066,1.65510436204879,0.881038298596723,1.60345640284338,0.0892133043837819,0.0104200533687032,0.643567803932434,86.3562828769666,0.332361612947374
7,15,12.532254012865,2.69983229816511,2.10253292451908,4.28807977616301,2.91243844322826,0.00604802308882705,3.08772848747836,1.70273796725466,0.657691517177134,0.0139612784814545,0.554811796124792,73.0698509852464,0.250118111086473
8,15,13.0051688814627,2.75829279064643,1.44840432527205,3.58414066345675,2.38771130708715,4.81583804856877,0.578112921337652,3.71545206614438,0.00786079777631175,0.00323385725315475,0.655566514076224,87.5318079674562,0.242896024426467
9,15,5.96301108206975,2.25539871599496,2.06862320977105,3.47842590940119,2.49695767731322,0.0144785955853579,2.41927593881409,1.32782460764168,0.513326550122503,0.0452989795167029,0.582954715276169,72.909671741046,0.251865936483856
10,15,14.0363126297455,2.32934473385291,3.73546480956864,2.7244815252183,2.84508904969106,0.185710965893784,2.18585172793111,1.01612798762001,0.0882214749262974,0.0183790860566657,0.615395299158765,77.7374331680168,0.190828530256623
1,25,29.4020390447014,2.91670834842279,2.22367021977087,3.52398651252223,2.787924980033,0.0494410406158812,1.9371118592819,1.81357730154222,0.956578624035814,0.0137314078999291,0.61661394372691,78.1760704063882,0.284886133592956
2,25,26.101365948945,2.70165713847187,2.05137621564322,2.78376917577875,2.16686517026985,4.54238809195321,1.50284352517727,3.44577148306675,0.0312686508390345,0.00391069752038651,0.743292967367026,92.5465195627957,0.445983656524078
3,25,21.5835190676957,2.61538988538938,2.57587523268586,3.46353349084883,2.14193995949383,0.0258748270383201,2.70977295192664,1.70346156144903,0.411856139886365,0.021874978276688,0.51714039337562,75.5485501191464,0.335100117841513
4,25,23.2565224092927,2.91380688962958,1.94199051591485,3.40911323997629,2.10807624419825,3.45609198933021,0.265417372072687,2.14321645929144,0.0798584410156988,0.00386810818072709,0.667168654941567,87.1539725580419,0.354696214654344
5,25,27.4517280388264,2.85760404461208,3.04894627247916,3.25252769730967,1.50663835055773,0.077072288880371,2.51542712004587,1.65993770609488,0.254679306564986,0.0231446961284314,0.555227879323683,76.9054503768979,0.3074512854912
6,25,21.7088003314278,2.84678425640067,2.0804717985358,3.63964339077841,2.41564692892782,0.0115412219731084,2.73204323717327,1.84208381867407,0.748570494987262,0.00412277374427315,0.608308936222648,74.4734402624027,0.273532403092914
7,25,28.1441585738042,2.68935731532023,2.31415099316995,3.3677042911877,1.3716262734031,6.28918492665931,0.00619907250209707,1.86228908523176,0.0645976985872945,0.00517355727619449,0.67877355080634,89.6675861255521,0.330675613617329
8,25,28.9827157819639,2.85421345353759,2.62182020806798,3.0062423471205,2.18951622713831,0.092488161100385,1.90779425345267,1.32968986016407,0.314095575681706,0.0116405913322792,0.551415789744992,76.6204356320276,0.253721903073443
9,25,25.3889340178819,2.76236931017836,3.0556503786608,3.38867278475644,2.9574409100446,0.089649115014398,2.28682159283264,1.40118590300019,0.232333808419478,0.0274828826708366,0.569840387849425,75.4368078893098,0.271583947189148
10,25,25.9609084735893,2.84394067610396,3.11791504168971,3.09242775429566,2.92006088570058,0.0190188330414928,2.49277153513424,1.32956640289558,0.612682623990307,0.112148782814554,0.566832117552641,74.7896164312338,0.262239390418537
