"cv_set","X0_start","X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","intra","inter","sigma","NLL","mse"
1,5,4.84466001810134,1.24143390485236,4.62891884871615,4.39411653272254,1.2833119035012,0.204880545231611,0.424690685121465,0.951252834138625,0.261432561772699,0.651835786832235,0.886009457389011,1528.06255502531,0.857850260573011
2,5,5.91750186483923,1.39787600881325,4.10297914984406,4.25101666706759,1.2844621042489,1.79683377147411,0.486046821623119,1.09906992398563,0.0327946892435796,0.0692660651939234,0.917600106006697,1539.56408497244,0.852209143977388
3,5,6.56373681051053,1.37534033980643,3.1728463748694,5.09566085479916,2.07583036680242,2.93267286333272,0.227189714347995,1.74375555812676,0.0142567511986251,0.114036424664419,0.926612737556056,1591.25010011631,0.903447054266008
4,5,5.21465458916273,1.19684891889244,4.183731373153,4.32389812726691,1.11990851478691,0.204919923264359,0.365671350998574,0.934634213540381,0.157289580878355,0.509065584193732,0.901061241810792,1535.75076210548,0.838835154694767
5,5,4.73768016009748,1.19592518170167,4.78631913406175,4.5679638845023,1.62958313116702,0.498151562538619,0.377447376201409,0.985777608543482,0.134584154332528,0.295942308362435,0.873821596901294,1530.36465926802,0.883949199154518
6,5,5.2156402931411,1.20286527115798,4.17496175644293,4.43132450430484,1.36608616423201,0.986443377077153,0.117792369550802,0.926856880267329,0.0445327923101442,0.169095529228455,0.898639182615303,1535.42018447643,0.864172338619052
7,5,7.21549521201852,1.59396064033254,4.58570128178264,4.37668793779773,1.44868409281404,0.247028391691006,0.326880258398207,0.95056225382648,0.238638344026363,0.5443171317903,0.904966038063803,1539.67792177755,0.898697704340624
8,5,4.49906386376836,1.1999102182492,4.35377979006103,4.45569141603712,1.40546649516149,0.159643082690518,0.442892387197518,1.0124965646747,0.36189557898609,0.792888724161173,0.905658061325576,1533.24758553772,0.871909169092233
9,5,4.41933619990113,1.18605015400413,3.79606561356628,4.36429159103534,1.2758598396431,2.51525761625153,0.345318784144403,1.44210302055613,0.0402317802356716,0.0933205461894947,0.931985413081181,1550.20377853302,0.87379205464976
10,5,7.08204332709518,1.44883418126342,4.77482196940555,4.47107361229963,1.17588500777739,0.84899904682645,0.403637064779128,1.02415398370727,0.0662034802644848,0.166014547469748,0.869723701209457,1534.68311774478,0.857888101604555
