"cv_set","X0_start","X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","intra","inter","sigma","NLL","mse"
1,15,13.5906305641722,2.2877996979784,2.27502442621268,3.81813103171025,1.88532737560841,0.0456909371727464,1.51583462432918,1.06164455875825,0.519668764867271,0.110298163245918,0.693665957458238,226.858584483738,0.483991890140135
2,15,14.3976835651797,2.17266866541154,3.12947578114112,3.32569833190569,2.00341358027974,0.133221256515993,1.27100008438984,0.763038539668732,0.227381929839662,0.0578847374419372,0.710445804894809,225.415869315418,0.46499169498925
3,15,15.3114984179555,2.13447566533994,1.73666205033987,2.64109092573067,2.82318776746808,2.02084829969689,0.867689983555948,2.24267022527466,0.0350829785622371,0.0203212348597957,0.767035827745897,236.002794024582,0.729803492488601
4,15,14.905261070106,2.37971302681924,3.26341243202856,3.65285215238915,2.54570980555543,0.0398847090978539,1.63016895073969,0.576504848539269,0.340908657319161,0.108121318508412,0.68666840631203,224.142644595187,0.41967829971788
5,15,15.9639278474974,2.34705396764956,2.7413449498125,4.74489413649018,2.93010955175862,0.0988319161445046,1.03842169517805,0.750892114925829,0.417576322792532,0.061248741493913,0.719378331177551,227.80462174587,0.381871782959595
6,15,15.9805369289603,2.28494592785949,2.38702834039141,3.33984682687232,2.08542348804756,0.0417595484288993,1.62093942482808,0.806804220544077,0.328886595475833,0.10046229363841,0.711624761358912,225.780116936415,0.529075811323118
7,15,17.9530528139609,2.22827054111742,3.42696095250906,3.74648848632875,1.80169413157271,0.00945878035324903,1.86428576950549,0.568789743293394,0.952562992579597,0.199698845029493,0.685916435837325,223.200700496854,0.373492925234403
8,15,14.2933512497087,2.33244860276064,2.55429321848673,3.84145474654148,2.56364528890779,0.0918762247549271,1.63936858709383,0.800694353504508,0.180735183029398,0.0350854477303984,0.728578495845402,224.2583935511,0.423128656176976
9,15,11.2924620939965,1.92962069047418,2.71472053065165,4.16087440127359,2.84827456170679,0.186484416640867,0.608091155523446,0.621670750704824,0.273825480455981,0.0943328460836021,0.739738477302165,228.453151540458,0.451942143850207
10,15,13.5983943041751,2.02330053468369,4.23319131503159,3.60776080776634,1.79343099615347,0.0412665188205385,1.45530838814059,0.580742421595847,0.459843423096554,0.176236727680453,0.730034636186674,225.478632369998,0.411745672163665
1,20,21.2245962756557,2.61776637366055,2.60758917743002,2.57764753002197,2.97072871993112,0.0220105701769147,1.8043251973145,0.875972678720394,0.546857374018832,0.172154084416003,0.707583407390108,226.049453489931,0.53751135120193
2,20,19.6835678618497,2.54989553219473,2.17318986513257,3.50228538623444,1.9861424655658,0.0674959856582777,0.551337981578758,0.58119079031096,0.652099916783406,0.0489859935021917,0.701308080874499,228.770464413705,0.486534802460241
3,20,24.9393529932376,2.20850286493921,2.6811399774476,3.55673124440607,2.15136979583511,0.0263998733631066,1.75345665033976,0.982052963114787,0.639097983899999,0.104301118467358,0.732680544134215,225.668293014691,0.470693442257824
4,20,21.232550686527,2.90842612130201,2.53643559213694,3.4936312835276,2.8678082455109,0.0717327012512987,1.60270581674861,1.24474505141817,0.399250980708592,0.167497216870659,0.674088729060174,227.132487556284,0.539580659258922
5,20,21.2038274805509,2.6719627615724,2.44430360625614,3.83760496202134,2.62101696253751,2.04063255130888,1.09844513024633,1.17690291357779,0.0253338375111564,0.0112601647389382,0.703237447200372,227.948146531869,0.551849564551571
6,20,19.8790512395073,2.58069755973345,2.52812639352629,2.82515604600668,2.52544340053499,0.110168264562986,1.47848475470352,0.926871338299623,0.212495002707756,0.0455076654997635,0.714860567828988,226.787716844968,0.538115166427006
7,20,20.2134110838545,2.56586663910872,2.81272369568172,3.59065350050279,2.29054762204964,0.0306184471251759,1.27344398624313,0.477834624213158,0.675238137953015,0.0583133031517748,0.688625442177117,225.610296822738,0.388635290746378
8,20,14.322180971405,2.02703060506435,2.18380125962214,5.15287523150007,2.90126776446863,5.59076077443708,0.092801566338174,1.56379707100509,0.032639206931513,0.0257730120477017,0.738193252102371,236.45085422217,0.668898819786939
9,20,17.5669956943191,2.3818020587466,3.45251003647259,3.61090957699327,2.55888882546056,0.0411821186557982,1.70749319869062,1.03873209929337,0.53067995529047,0.257532808865316,0.690691490004798,225.487783542992,0.471080799047739
10,20,21.5219276046591,2.57214599524538,2.53222330656561,4.09856314301472,2.89780703287164,0.782778257261713,1.72598967630685,1.37719435674896,0.0360857970170897,0.0117342459805304,0.709627495706845,227.304820857463,0.498978527105293
