"cv_set","X0_start","X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","intra","inter","sigma","NLL","mse"
1,20,18.9697896676377,2.71249000141297,4.21964506249725,4.36941090770198,1.43619864904468,0.0393072859452302,0.672721816407596,0.454329432096579,0.680528553776316,0.496178283832002,0.987674253020223,311.281933542951,0.764867099525402
2,20,19.2383251400327,2.95569928979981,4.17330503844947,3.72703895604308,2.7294377129858,1.18259590393076,0.316346470076575,0.300330779146578,0.0353760614601252,0.0214855282117599,1.02178437303173,313.850812763024,0.795060372461846
3,20,18.3726028844251,2.94946111944274,2.79163653330062,4.71078145828712,0.695216082435746,0.000239279698264026,3.63292230264252,3.80496949978913,0.0822272568892509,0.644358241814151,1.14916867774659,337.687904303833,0.941341319594807
4,20,24.7640464332166,2.69577271271678,4.55892636742932,4.67161984336246,2.77693010405338,0.176404453866529,1.1817440034582,0.27548734668614,0.0698664869267884,0.0355198368246656,0.941274813874229,307.311486746326,0.838709384069501
5,20,18.2681915666465,2.95051153314686,3.96506941168491,4.85652059479337,1.37900751236206,0.0104191106043083,1.22757955900907,0.294699812052633,0.908872164149621,0.537613368230513,1.02291611386807,311.4315907197,0.890020289282266
6,20,20.4159255482111,2.23955123409447,5.603694639179,4.38284898249561,2.19176282350716,0.0168969866433306,0.836352215849912,0.104174264317887,0.861968351229312,0.698233569098472,0.973463978249903,306.775902993034,0.775853498062151
7,20,17.110644970561,2.82581258497051,4.55360745670952,4.78339812654745,1.49487775843922,0.065082696086743,0.980158195381624,0.405420584325087,0.317233439764594,0.17293942659919,0.954084707012812,306.616698732431,0.769641662143423
8,20,17.8717109360192,2.90836544292118,4.95950020873706,3.25300283779368,2.63266534399416,0.049840196750632,0.412574215791618,0.255908282361482,0.837161452691865,0.426184638929766,0.923362580895114,310.53880547134,0.752632471350985
9,20,20.7921895382374,2.5329836905803,4.62570572865405,4.51242184140835,1.87671902968637,0.0201198413236231,0.821813159169861,0.083226413475017,0.659044458473787,0.383690903904212,0.956995024408043,306.254829069345,0.733881389608008
10,20,17.333827973498,2.61995057856576,4.52910009397443,4.49172391865792,1.90729843218906,0.0390698909316605,0.964550790085953,0.508014506704361,0.659995133665334,0.452918930611804,0.985637527904779,308.164219917837,0.826730397093763
1,25,26.451249633822,2.97667655026076,5.67375916968497,3.88168499992839,2.74303586205614,0.200294389628265,0.678691301808589,0.325010874717189,0.170209289653017,0.0977078270903275,0.931169293432988,306.616772663154,0.692111434505422
2,25,25.8915938280017,2.40755415507873,4.64010157333382,4.16148781753471,2.62145428332783,0.0521101031165555,0.688699448649892,0.325924068396203,0.581338277281743,0.261658774448158,0.952389385105258,309.251723079055,0.73274181986323
3,25,26.8459883484374,2.99398660820203,4.55439345005985,4.27547184044189,2.23086793470897,0.23682895484601,0.814865429257664,0.160576779278705,0.0698940415191759,0.0407909218640367,0.966002221913283,306.986316682217,0.773914344214093
4,25,25.9760524442254,2.99896471784067,4.67804828829281,4.55344496724745,2.86416643261937,0.0331356501090448,0.897612640769008,0.274522862763466,0.603084945219345,0.345805977989504,0.89511865641134,306.683745010283,0.786080805531142
5,25,22.5604672293766,2.64078548523085,4.45667474103177,4.10178309730091,2.86390508593589,0.246872630135848,0.706952841641208,0.413402064944525,0.133843014661085,0.0716135320081238,0.924043133876298,308.357187337388,0.750413427902931
6,25,25.3857531705335,2.95355217776399,5.08961981765029,3.83786169755559,2.2890138666259,0.0921040495240734,0.500939183102389,0.250938736674418,0.354839700696018,0.230459061271741,0.926959160734526,308.26960425703,0.739896863107119
7,25,24.5190426039567,2.59582051814065,5.29805255176584,4.51918528981696,1.47311638029681,0.0168032880043841,0.937646676066198,0.226852184528448,0.831677740101218,0.671026318793248,0.879881471813409,304.915617581219,0.755312001263772
8,25,25.1571462744839,2.71399907113637,4.52305964453796,4.79357742750851,2.58890641174201,0.0427657325659213,1.32001033342219,0.401932543699289,0.228703102076787,0.18512875888121,0.949877291849768,308.59924353669,0.88306065896159
9,25,27.1175397156044,2.50534037275022,4.37207133654753,4.51114157631283,2.09137854786064,0.0473595198110115,1.02048989475113,0.560370286999576,0.433772789435504,0.347514494568629,0.964692140446791,309.452556462054,0.829682620942835
10,25,21.3724789606008,2.96264316698493,4.58359053810401,5.16944737928049,2.41822348507973,0.036751483670806,1.03449399562059,0.626498017742334,0.91598480356573,0.47502387064587,0.931583676093657,308.582453203464,0.837335064956293
