"X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","intra","inter","sigma","X0_opt","Xb_opt","gmax_opt","pet_a_opt","pet_b_opt","C_opt","alpha_opt","beta_opt","intra_opt","inter_opt","sigma_opt","NLL"
10,2,1,3,2,1,1,1,0.5,0.5,5,11.0996081320964,2.47809703091332,2.38281143954188,3.01344496635495,2.95213664347107,0.0371847581350404,2.02581051228511,1.18680819502108,0.54838142296267,0.0295730095304804,0.507844750844498,72.8067467711756
15,2,1,3,2,1,1,1,0.5,0.5,5,16.0519074110692,2.57371434752749,1.84648879725183,4.00171807667602,2.3064498707945,1.71588568470942,1.29822661923369,1.81952238854784,0.0371935313328129,0.00628915477324605,0.537239721263867,80.1723027385598
20,2,1,3,2,1,1,1,0.5,0.5,5,13.5140939297637,2.29498058886846,1.9053291771671,3.57873115262319,2.90368214556663,0.021635966207993,2.477528966032,1.6596593854992,0.553234700846532,0.0161695384947377,0.579726195595508,73.5887715692575
25,2,1,3,2,1,1,1,0.5,0.5,5,25.1270015268763,2.89362133258131,2.09172081552047,3.42639070680995,1.63744116241869,0.0475632620764963,2.25504252283736,1.35671456409401,0.174237498069215,0.0101321217834461,0.503118692210461,72.9240267942489
10,2,1,3,2,1,1,1,0.5,0.5,5,7.87393326735148,2.1024408872646,2.55496796806561,3.40386554689967,1.498259544229,0.0240101250054259,2.23198898203668,1.01745143533251,0.327838896534899,0.0391426188495079,0.533734734733203,74.0435073132128
15,2,1,3,2,1,1,1,0.5,0.5,5,15.2084584027829,2.24202941624614,3.28088875745435,2.87232309203722,2.35342203629442,0.0886075914171508,2.1307530695488,0.918026061003018,0.130855965718595,0.0270840986211467,0.516405388177303,74.2341902044295
20,2,1,3,2,1,1,1,0.5,0.5,5,22.6307318541812,2.63024523743484,2.10449480150684,3.69712027979536,2.77081589926826,1.74190887542544,0.692236690148667,1.35413673186947,0.0952308686860128,0.00162797712885764,0.509946833196444,82.7742532108652
25,2,1,3,2,1,1,1,0.5,0.5,5,24.0874002896304,2.49060133113094,2.93410517512722,3.1219631044456,2.53412453865419,0.00777597591877183,2.31160492444317,0.96965558291466,0.886314551034886,0.251143580726224,0.525480276230807,73.617704777772
10,2,1,3,2,1,1,1,0.5,0.5,5,12.8434573083952,2.33994668231955,2.15913854345646,3.63935365518508,2.98772994378967,0.613733536431299,1.38916178509203,0.883141260727341,0.0430512355662109,0.00594893044181792,0.553521484636349,76.237697430724
15,2,1,3,2,1,1,1,0.5,0.5,5,19.0607456119348,2.76933611458761,1.87990597830319,5.06931826229364,2.85983444520258,6.33340706757855,0.345087753020963,3.37455822982408,0.0124230651840864,0.0103324830256217,0.547811753600478,87.7669366064817
20,2,1,3,2,1,1,1,0.5,0.5,5,18.7011351714844,2.80520530860501,2.46331714923127,3.29436411196684,2.84555786255925,0.0605302339853951,1.72779976494722,1.03842622025504,0.424865945247841,0.0213241503534055,0.497762060215958,73.8835561274081
25,2,1,3,2,1,1,1,0.5,0.5,5,28.4510502778193,2.31041117022428,3.203343806756,3.18664452197712,1.99892998588693,5.32303492085302,0.518633253358156,1.03261450616118,0.0336251156714598,0.00587504744957083,0.576197121975661,88.697410585713
