"cv_set","X0_start","X0","Xb","gmax","pet_a","pet_b","sigma","NLL","mse"
1,15,26.8516016261421,1.29708579220947,2.96570191614372,3.00363901267798,2.64745829749437,0.794110110388425,246.181635348635,0.358604996027631
2,15,19.8540360936459,1.3655855339063,2.16046763132511,2.96223258061345,2.38416898478113,0.810578025388847,248.711936758014,0.361813553425747
3,15,22.8420478134469,1.32907579450402,2.65813125928976,2.34235087590736,2.95381894205845,0.787739771442235,247.333169845085,0.362302284470543
4,15,18.9948873007336,1.42708269591977,1.85796272595727,3.31560191689415,2.86588970041628,0.811932260738412,248.990712639766,0.349607905698812
5,15,24.8865933036559,1.34646279567586,2.70833767069419,2.66066712169344,2.75047615812186,0.814755122906623,246.6451849482,0.35893907252262
6,15,22.985599769174,1.32788828857125,2.47612994153246,3.14871977217808,2.53217448171525,0.797827998193175,247.385787445337,0.369818759456046
7,15,20.3191877577387,1.36319159314828,2.04110794856427,3.14534939282825,2.96661452360052,0.810018390773997,248.309472096707,0.337430908632751
8,15,18.4171374939007,1.27186815066894,2.24592604234004,2.36730683199883,2.80345706061622,0.806570981764729,249.073233560448,0.325510024624014
9,15,22.4023343944902,1.31112886481849,2.47006241501867,2.84085944091073,2.89302938992427,0.794015533541686,247.221900357487,0.356115123428395
10,15,20.1055895402782,1.30774940194646,2.20898554880857,2.95420246137944,2.55290132420917,0.794758493846851,248.423851025644,0.337747842503284
1,20,20.5121415190664,1.24868553536236,2.3838654751877,3.17249941641772,2.76073019150391,0.811962859622334,248.328101934398,0.361225497890957
2,20,24.7819983509783,1.40853579439195,2.42976701557992,2.87805892051529,2.81438429875928,0.802977552306939,246.609211157833,0.355158683876357
3,20,25.0766222475375,1.45062359999407,2.42646436064135,2.89268395269582,2.38671510300461,0.799933969190143,247.089484283998,0.360524076923057
4,20,22.0522671281489,1.34637933684694,2.27909211949627,3.20374953457805,2.95918228479704,0.795815319137153,247.488052927554,0.361542744763214
5,20,25.2553320920305,1.25950875490897,3.11504659376266,2.57071667695226,2.79704714156636,0.798618525523763,246.648105161185,0.364726750380265
6,20,22.6930275967363,1.42285614039217,2.32827959679842,3.01444610219027,2.23355947820511,0.795429539627133,248.114053629232,0.377343470287499
7,20,29.5904186325131,1.35279409940092,3.08231007360178,2.8820137071626,2.80193584625236,0.769537500096235,245.477259448998,0.365658169479426
8,20,25.6385629753403,1.37706250836369,2.66982017791368,2.60770235814918,2.95495117395047,0.813931969071187,246.326830067059,0.358687245507094
9,20,23.816540560446,1.32138037709869,2.55511653821517,2.92205110791421,2.54940509168507,0.815907173719418,247.115096472344,0.34258481251981
10,20,28.9537274381621,1.41195634014258,2.7198279476018,2.92163050343141,2.96723538241979,0.805801518581878,245.506983774116,0.350371271962348
1,25,29.8775214165438,1.34612427279204,3.20348143419083,2.54644413340877,2.69039037015916,0.791474491656707,245.276548943125,0.336583091445898
2,25,29.149126085185,1.37900886068904,2.9457796814934,2.7990649568087,2.83130660764905,0.800307675561786,245.375535140187,0.360495524175454
3,25,29.7522995449019,1.39904391638894,2.87701090144865,2.73026392982875,2.8487814987792,0.800897978287319,245.279721540003,0.340787235855203
4,25,28.5355415594566,1.35287958942775,2.98929187130086,2.86641339555035,2.96308717803751,0.793755899615419,245.517786463128,0.374070156424382
5,25,27.8829440222707,1.32662394795752,3.18272250855373,2.26026379971232,2.99131183914376,0.805970148862903,245.740932660553,0.346714394210924
6,25,28.1597921571401,1.33686011999668,3.05589098584027,2.52609445404122,2.79190079033847,0.803000066807268,245.643707568252,0.339717668566548
7,25,28.7680555055003,1.45720903352831,2.6233426253662,2.80044039970946,2.79056567799271,0.775436498378672,245.762524755382,0.348268896942928
8,25,29.8822989656337,1.33392850400948,3.2448046771938,2.4917883945173,2.90405888168678,0.780405888316179,245.205774121304,0.340527767117072
9,25,28.8546388443729,1.3486221626705,3.0295758699194,2.77663817841098,2.89455634418708,0.793338893970717,245.394122513591,0.360281768202289
10,25,28.106811058341,1.46582655908914,2.54298529246697,2.91734311195355,2.77204236740169,0.807128922181749,245.937190008726,0.356773916016381
