"cv_set","X0_start","X0","Xb","gmax","pet_a","pet_b","sigma","NLL","mse"
1,25,22.3702472753034,2.25043728421556,2.7984311404725,4.69782699484578,2.4910707070256,1.31610250075259,1598.43101018312,2.01448150189341
2,25,25.5838039594548,2.32079098903873,2.89640242952546,4.74368589205709,2.63222443339574,1.32413774966117,1598.17230874607,2.00440186375126
3,25,29.8611383447606,2.41698477894468,2.9644282463847,4.86387715918127,2.69318263723978,1.32139507194936,1597.94193261274,2.00184358891642
4,25,23.361245914541,2.25883002409932,2.82646697355252,4.7366859577717,2.69852596499075,1.33188806839325,1598.32576403185,2.01017471953543
5,25,28.9501180892807,2.36033208194905,2.92529192035981,4.82484778295892,2.93288829163059,1.31866707722462,1597.94465882339,2.01005370436626
6,25,25.8419075840527,2.3181027470072,2.87219883936982,4.88372707756255,2.90800213595667,1.3358270304051,1598.21146899804,2.00543872313997
7,25,27.2414565527817,2.30968024510095,2.96516772720659,4.73701433472609,2.34339270782251,1.32925171623859,1598.09213333886,2.01414899513279
8,25,20.6196456246497,2.15936937400563,2.77852155129932,4.7743368024296,2.54520127546077,1.31502747582766,1598.73597972596,2.01685837426627
9,25,28.7610126932195,2.36411661660148,2.9168764261261,4.74876263183938,2.65832596552064,1.31838104432894,1597.9762013555,2.01547149088937
10,25,23.6248385474642,2.26777021913623,2.82989801426602,4.72298881155304,2.63668683392594,1.33347887432826,1598.32473395595,2.01165137673703
1,30,29.483495683216,2.33489815206214,2.98209193894335,4.66503711633246,2.70774901285802,1.32685448768447,1598.00971449287,2.01464285517016
2,30,29.6472260490243,2.38978878863585,2.95324449555251,4.81171786645671,2.26674741244457,1.31334669979349,1598.11837317896,2.0201306911202
3,30,29.7192770801469,2.41871982478782,2.92754275619635,4.66347710567763,2.38135049446952,1.32131336751957,1597.96055322938,2.01835920472131
4,30,29.23067236764,2.36847316845127,2.93941071383975,4.83376704521578,2.85038041656213,1.32840514206826,1597.91360765043,2.00887689491228
5,30,29.5631969068459,2.31497356918375,3.03481456982168,4.91445747566419,2.87086355934591,1.3259954743693,1598.07937938937,2.00427772950866
6,30,29.2859940982573,2.42482778688956,2.92092657436895,4.74939884445325,2.56528582496736,1.31483687688744,1597.96705824447,2.00862954487149
7,30,28.7542784021919,2.42253219005002,2.91405937768902,4.70939793329767,2.23486301199559,1.30607485027537,1598.18446629895,2.01789545905399
8,30,29.3529833702514,2.37815909692326,2.96363277757187,4.68743701759156,2.84459521128981,1.31793787281283,1597.94912207312,2.00472292868079
9,30,29.8111091827832,2.39689254760777,2.94653247527528,4.78578789693015,2.6722196608504,1.32271538594203,1597.83135676137,2.00953229988534
10,30,29.3175994522324,2.39925063060278,2.89621973791396,4.86543508741715,2.93099189446188,1.31868656691885,1598.00178097236,2.01074045399099
