"cv_set","X0_start","X0","Xb","gmax","pet_a","pet_b","sigma","NLL","mse"
1,20,12.478095600326,1.58621765617068,3.08195012490904,4.74086655715601,0.73020455323077,1.56843848354004,202.32587088188,1.32531153222701
2,20,17.1024379629121,2.0109997233599,2.84674296967403,4.76185978648196,0.811636412395425,1.59098825220594,202.801520696542,1.50958370382844
3,20,22.8694378323189,1.90995658703924,3.31731271885518,4.73720065945872,0.731596792310811,1.59621904698681,203.029026157594,1.35401421874043
4,20,26.4893716845808,2.32201157809865,3.60575912080837,4.70299108394646,0.596487639971943,1.55552566869747,202.911528704263,1.33105039105633
5,20,19.8206942032593,2.33773531954465,3.16634252228216,4.7239798386343,0.645258530346039,1.66643244271536,202.925348181591,1.46182086251714
6,20,12.6684988834105,1.68876246233487,3.03256411698433,4.70460017198106,0.679109214161979,1.53209347414722,202.335472869751,1.35389195745605
7,20,15.2427297177523,1.93925462958483,3.20742759796041,4.71252972954576,0.600797980389324,1.64310031301493,202.566488473547,1.37167538394275
8,20,16.3936045706949,1.80217587767009,3.27786230134876,4.72651416738255,0.64564446753432,1.57361420419921,202.524211997095,1.32317370574348
9,20,20.1546346749477,1.9234239176109,3.26029153536377,4.72959121127695,0.710316965209932,1.62701750673214,202.820505145766,1.35033249977624
10,20,21.4300115366296,2.21356443914752,3.24000902268982,4.71033141021494,0.685544054407486,1.63351346764409,202.813175030009,1.39353578124896
1,25,27.1426743606609,2.62510172635256,3.39339941443994,4.76758973405849,0.618815388504526,1.56438828698804,203.182164371572,1.53562047952826
2,25,24.8421548526313,2.39904374055949,3.3675710127389,4.72066309541904,0.644872541953175,1.54118219133637,202.849567742937,1.4123702494414
3,25,26.6593697729524,2.58378495384653,3.2466791783787,4.69704213077569,0.636843596658289,1.54271121313399,202.876996300259,1.44742969119037
4,25,28.4627120641362,2.5106244232411,3.25015928358432,4.68493799301796,0.666426772220002,1.56335185445172,202.932093052141,1.42678398920031
5,25,9.29432570163464,1.40199779119567,3.18608067898493,4.72220522492624,0.602476083255433,1.6221272218153,202.086003218611,1.29322231213886
6,25,9.4806231690713,1.32860990744658,2.77207780483393,4.84055597645873,0.899310909556312,1.57871166699331,202.447149549318,1.43586636175257
7,25,22.6023368816514,2.28231128474574,3.02253427913261,4.72985982672998,0.699113306268168,1.59843388668187,202.866452905889,1.49591696045553
8,25,10.106176307132,1.31421621596697,2.88050350365181,4.77650525070976,0.825141545008446,1.5735957929368,202.310269819773,1.34597876073104
9,25,15.6099297200839,1.76234647395971,3.01796187747517,4.7168444432123,0.69877509785412,1.53163296730667,202.71908927038,1.38924525144672
10,25,26.5621075207054,2.4146992544945,3.19639163741899,4.73280733633663,0.700767733292651,1.57426016749623,202.793876788735,1.46469120253833
1,30,21.7009322635144,2.15545250843554,3.04389582150488,4.74600899566567,0.81965850908406,1.58162860893699,202.87786203668,1.45720768303657
2,30,21.9754928403811,2.13027367327035,3.01888285717892,4.76803920453297,0.7727521363643,1.59728741567378,202.887999901495,1.48666447077635
3,30,18.1918198921537,1.83164385245975,3.19378330234434,4.75967282129372,0.724394052203601,1.61080025541006,202.775815962354,1.36956890673271
4,30,28.1459332683872,2.51474510019904,3.10583433694808,4.76165248167552,0.741081258479732,1.59378514267487,202.939304056562,1.53168682103137
5,30,23.9635358181786,2.4527326520479,3.14299341608249,4.71635902925227,0.695721198959093,1.58391773203875,202.801637877936,1.47020580113512
6,30,26.7174542101063,2.55739021265847,3.36953587237784,4.73796148757258,0.606811467470664,1.56970267359214,202.823225308733,1.47031109515783
7,30,18.3465481561208,1.99277581022284,3.07298005484747,4.72101391764643,0.723328696496957,1.52310790644588,202.751862757214,1.40730328904702
8,30,20.0324964007636,2.18650398468997,3.22637486481018,4.68461534517394,0.659724186403133,1.52084416605885,202.863038296351,1.37210849581164
9,30,25.5521943098358,2.15217839519179,3.31787117118742,4.72056733779595,0.664934826511412,1.59006731837403,202.864683896709,1.39206299129118
10,30,16.1573546313655,1.65755248650544,3.00204919961848,4.80161621824643,0.823421522000565,1.58233784577646,202.947926613766,1.40450097581656
