"cv_set","X0_start","X0","Xb","gmax","pet_a","pet_b","sigma","NLL","mse"
1,5,6.28276213517095,1.33588122772865,2.59719580082997,4.30049889447358,1.01587823616336,0.957466919636803,1616.03241454473,0.89497865341247
2,5,5.7870710956579,1.31321136459722,2.53606681412377,4.31379588285602,0.989616990527482,0.945892122252309,1615.93237077509,0.904216396454716
3,5,6.34407630462824,1.35572670997928,2.57756404909511,4.27802607021268,0.964991981054543,0.95357163125914,1615.63263207068,0.891916968690827
4,5,7.34204751291193,1.5006033569461,2.61648220462196,4.29623591110207,0.972968253339237,0.966490494942731,1617.44166858425,0.899219199742208
5,5,5.63778678324073,1.29025967796658,2.5401521707966,4.26513633195498,0.975933058800777,0.954321702274517,1615.60724453337,0.898290441525689
6,5,6.01644665270974,1.32814239251137,2.52761659410201,4.29874434879042,0.963210149361924,0.953279583051532,1615.79256158279,0.898104941307889
7,5,5.75925944938758,1.30469963717712,2.52707656163852,4.28655301750025,0.991183517701658,0.966726372378102,1615.50202029713,0.899785449339812
8,5,7.40234657881866,1.42041898464428,2.68323774499563,4.27548618944223,0.993481704158425,0.952740759198011,1617.97770590897,0.88402607713347
9,5,6.50706978335241,1.38621334234379,2.60853095106323,4.31124664393803,0.966679471787289,0.956403592785719,1616.05312527582,0.898428824752222
10,5,7.25201129942135,1.44044334084155,2.6530210425226,4.26878187762446,0.960558711931135,0.960298100280914,1616.77685330729,0.886816638070181
