"cv_set","X0_start","X0","Xb","gmax","pet_a","pet_b","sigma","NLL","mse"
1,20,21.9367827427302,1.96494545078832,2.89495491240113,4.69516843910155,0.788633126629093,1.04808997386081,331.677167681533,0.960578331962486
2,20,23.6634356806414,2.12010470207948,2.73147217480594,4.72208485209408,0.845116275504633,1.02700897314989,331.756849361945,0.979208400741635
3,20,28.4344141812462,2.16851528041788,2.76640825661259,4.71467283281433,0.88380994913394,1.05860814814572,331.404762050157,0.980814918214208
4,20,18.1991068908879,2.16268720478969,2.65162195466219,4.7195016481028,0.795614964774737,1.03595953951953,332.329266659614,0.975108921625531
5,20,24.3686905795853,2.35249099555814,2.82233126509635,4.71435684631062,0.771731300694777,1.04210313568109,331.518850578731,0.954112096827871
6,20,21.4361127508973,1.82675209726032,2.81932200224103,4.69622325466176,0.832169068634331,1.05863221192422,331.913668107911,0.985639191770996
7,20,26.281762989287,2.16062790826243,2.77020977023328,4.70425372067834,0.880598260729757,1.05221062392967,331.593937760952,0.96977930620525
8,20,27.7802992442147,2.30132403141194,2.91491994252768,4.70067953370359,0.763421073149501,1.07643777840099,331.354077449771,0.952077727464337
9,20,19.3895360113451,1.92875717745977,2.81015603069405,4.69672015488377,0.804372449035335,1.04632911517843,332.073052112476,0.96507120270478
10,20,20.0491449121181,1.96278677618346,2.86922380426794,4.7110198695545,0.777856565656692,1.05449410158863,331.97754880328,0.96346199662653
1,25,27.9945967430544,2.07398531996493,2.87021031822421,4.70369994176308,0.861058707161686,1.05705153074707,331.308963221589,0.972057809256708
2,25,24.0577433034661,2.23750198741694,2.87565130546779,4.71888359428336,0.755279093660006,1.03483306841004,331.566681610893,0.95919783111728
3,25,25.4859008729791,2.24741474560711,2.75890700139256,4.69213501185713,0.813663937510503,1.06237745015401,331.43459884671,0.964556712570858
4,25,24.5099933045279,2.20984653491026,2.87880141037076,4.70143199939103,0.777837591947302,1.04108843523906,331.424962418568,0.951473019389624
5,25,27.8996009258343,2.08375859524702,2.86569387044432,4.69379034669522,0.823024761838409,1.04894904886159,331.238234599201,0.974988701218742
6,25,28.0804922545367,2.23435612926551,2.85627385667012,4.68371065407274,0.800571066189481,1.06744925155821,331.258335625707,0.958652403355515
7,25,27.326911881211,2.29557421756099,2.82515571985015,4.68791219050286,0.787514744317872,1.0619371892639,331.313526533429,0.958587103324152
8,25,28.936095249426,2.04176267658559,3.0428028580809,4.690970839468,0.785206963006923,1.04768536546111,331.320575312101,0.962046890974082
9,25,29.1443923431193,2.32048579857099,2.78033255748762,4.70905237801995,0.814886095226636,1.05870112499009,331.216904204257,0.972610438621047
10,25,24.8721463459939,1.93093068819202,2.87345908285866,4.65671347786238,0.831136869333555,1.07143149719819,331.730136254376,0.970299648050359
1,30,28.5502734969635,2.32937045311363,2.78745086042711,4.70537529032884,0.797092231449428,1.06574493822634,331.307409666025,0.970621519252779
2,30,27.5901706303707,2.42861915956964,2.81587576865256,4.72321779243214,0.779489297096612,1.03402104065268,331.349222414658,0.961685812068199
3,30,28.0619254832849,2.15832200214351,2.78765727939797,4.66729408728919,0.85031323007459,1.05099389449764,331.385097213683,0.969688370291014
4,30,25.9487416098873,2.09011543499287,2.98621797817637,4.6943235318684,0.747024400449018,1.05543589961422,331.540020424566,0.959935363899591
5,30,25.9176917656141,2.32695771363604,2.78668902445202,4.6940214742035,0.792121232853392,1.04457952874009,331.380754484706,0.95797968369953
6,30,28.1052063194598,2.22367957923974,2.78674074775256,4.70359029172683,0.83813766464965,1.06655570342238,331.26786724829,0.971782219783728
7,30,26.7673542537999,2.186018246475,2.80111574525202,4.71558242751235,0.825278237337037,1.0348194503308,331.325003291853,0.973593411447106
8,30,26.6532577188937,2.071416918043,2.8799312234099,4.6774610837278,0.836244857852434,1.04526640172172,331.294799778377,0.960424967198707
9,30,29.572703522098,2.26261162732358,2.93718951892663,4.71399027910094,0.786496961849766,1.03048745257371,331.170623768605,0.959050119767486
10,30,29.9083233622103,2.2485852015975,2.95562498658835,4.68815562189132,0.83275089423372,1.07087786429108,331.500159414404,0.944370426537601
