"cv_set","X0_start","X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","ABAM","CANO","OTHR","PSME","TABR","THPL","TSHE","TSME","sigma","NLL","mse"
1,5,4.18991035187449,2.12999353228708,2.00025347194789,4.00975505622206,1.17488512021398,0.000159671208440816,2.70212754954948,0.461953332825434,0.0820286610210767,0.958394401598126,0.492390146997327,0.432325554768121,0.589178672175424,0.944898742195015,0.404668192963576,0.278567955383026,1.51584340982393,1872.24225907797,1.10920778174685
2,5,5.68655067601109,1.26007335268903,4.86212320429526,4.28073654300949,1.25198439606858,0.232221032432548,0.41971863485688,0.993509692275994,0.262245343055311,0.567756998096309,0.403380939737565,0.702805631485059,0.134559370826169,0.87131220730506,0.557722136065768,0.962155052635533,0.958735044853283,1570.06216231686,0.726982142000939
3,5,9.20496888566309,1.70804515715675,2.60717240184221,5.27073525486613,2.36296245065409,4.63821475728213,1.47250680967547,3.51073602111236,0.0201899762160468,0.306652195470718,0.0102695534795041,0.540186084565827,0.0835330216869446,0.0872071255291082,0.00981632117291885,0.232243581985427,1.01681172509688,1743.72469783898,1.03077040356098
4,5,5.97321136670977,1.35013792549876,4.74671405451585,4.4070929560173,1.18492135362744,0.276091369383336,0.579847795979136,1.27438955717737,0.327417406782017,0.609622378686109,0.285793076905462,0.742991140521931,0.441773552018107,0.731778498295587,0.416847346604565,0.620060704683627,0.933739769078202,1574.2501296719,0.693239086291547
5,5,4.73559547701573,1.1381887661847,4.68613144859455,4.65372087519252,2.19684606725138,0.663773170272284,0.577751968793965,1.27400561604848,0.14078661906776,0.194690343695591,0.881907386862013,0.196408904735766,0.713253689777234,0.457140487004457,0.168870040001542,0.703888917187275,0.940446340891363,1587.19527921814,0.676635925845292
6,5,5.46315613220515,1.32172472582904,4.53491774434508,4.19300882508855,1.09121545096118,0.216431187630055,0.43610250930159,1.08663219731561,0.336060285229556,0.667492641801725,0.713914733584049,0.771366286708658,0.155674464545677,0.957389752843125,0.415980426794183,0.77217398782681,0.943882738967882,1572.26425442499,0.699908495643691
7,5,5.5758902595582,1.23179176370298,4.2496863735832,4.33090834127151,1.43357281973611,0.225455885200931,0.556918750365952,0.886937392076778,0.181381776254435,0.325067227515873,0.295029344127473,0.503464380942319,0.246984042069536,0.530978518607216,0.135125304591683,0.919039111381909,0.91525532204369,1577.24816124076,0.648706121880441
8,5,5.84406530825373,1.27970137772391,3.58153544941539,5.02391512392062,2.63678467036043,2.49530180844075,0.612171967859576,2.02116880343195,0.057575352231592,0.247740204537066,0.172937596689677,0.356882421020758,0.294097847292471,0.458719764731546,0.0950354681981291,0.167042285612394,1.0068267388308,1630.28221766705,0.792535385217735
9,5,5.37564489490368,1.2450149897623,4.59861735672812,4.05941424411605,1.01394450244354,0.417345601108445,0.708071657931169,1.33469320584079,0.15135545059118,0.511356049026405,0.0548041855038516,0.390258772449733,0.306883068261586,0.360503656775151,0.273991917245501,0.476283413880496,0.893361245519854,1577.01613141731,0.689177048615426
10,5,5.87531578383349,1.27762585290712,4.41968201960891,4.37481259082757,1.36143596241206,0.519801737749005,0.726560196804018,1.28839076282256,0.136234055611654,0.187868178345602,0.798735486911974,0.27236919428242,0.201779990980451,0.429049743121758,0.183459807549399,0.729575636738463,0.943081745313616,1575.08809473945,0.685689638434234
