"cv_set","X0_start","X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","ABAM","ABLA","OTHR","PICO","PIMO","PSME","THPL","TSHE","sigma","NLL","mse"
1,20,20.6272137227273,1.9817106895806,2.04035233359599,4.88144918272192,2.27572722431462,0.000479633203480283,1.94201283221804,2.61270873216448,0.710195356588151,0.605935796851422,0.460062292060183,0.815719238435853,0.902701530990522,0.81840133860264,0.0501078628095813,0.812258306911462,1.07085174668238,352.998894337748,1.43923985442903
2,20,21.3516601292785,2.18929289868723,2.26940110421694,4.97997983781056,2.1069998139962,2.15871517339423,0.289036982936787,3.71632653312806,0.12103198783633,0.433069692678732,0.300151119744718,0.00682117972947799,0.935277304319797,0.055155812386864,0.873877431978729,0.00144351306006221,1.09878814526596,368.824053574784,1.27520046661065
3,20,18.8755627242059,1.98912007232227,4.06863811313477,4.48410861501303,2.73304441513196,0.0164419932700517,0.923054145156521,0.14287518937298,0.496759779670245,0.407760178596078,0.211769510419919,0.170309074943209,0.138887469812172,0.505498393660384,0.863003684183972,0.440115773366328,0.979899750359846,319.36744434703,1.03675243856533
4,20,19.8394953721799,2.27944639734168,3.13949636470232,4.40047506172362,2.44541792413548,0.0149534759843133,0.232266912164177,0.00469355574440142,0.776940054137883,0.153069579437194,0.109530568240885,0.0209889679108294,0.32358904707615,0.940778687014234,0.552805186579495,0.882417931914406,0.989425825221401,322.377091380914,1.11654976109476
5,20,19.3026931230904,2.64810339594626,3.97127382589055,4.58094284428994,1.5031621622794,0.0604522795371652,0.132065644179869,0.286055125990669,0.341422639839566,0.124389166354171,0.248941586736551,0.0441582045220031,0.111432500216575,0.503740169907865,0.764683998127507,0.736154209618127,0.836780891036745,313.965208326106,1.00859138809818
6,20,22.4210097778686,2.77137964014482,2.30281401122774,3.20306286955011,2.22716184934913,0.000155932107399226,3.19025277061488,1.83789256818299,0.968097691902475,0.845965600311792,0.27927467184885,0.330071376718425,0.76611473405948,0.470420572787491,0.0665978041738682,0.618196015233498,1.16208669941852,371.181565183532,1.995438210544
7,20,16.2857479802502,2.51085885807142,3.96361053159847,4.64068419514702,2.13826958294104,0.0373918422458609,0.579069156467904,0.337690206639427,0.14371938507081,0.534761247558102,0.263491046789445,0.0107988500428482,0.0362257546309672,0.756376859921653,0.781008691625246,0.637418908095544,0.879861974089525,314.048598081577,1.01580394350388
8,20,18.9790809987753,2.52222906311976,4.20978329616608,4.69518675775716,1.28760604586724,0.0371934104357101,0.824582058823045,0.622620863718397,0.469999432214636,0.153457941097681,0.549137580254284,0.0596468830851393,0.334802571711189,0.929445017226074,0.498220407099947,0.807911399504173,0.920388291795083,315.661265575426,1.04080213607346
9,20,20.2565701772698,2.4340485181346,4.03259795441736,3.99090893530206,2.82569707357842,0.0527655251081564,0.81527444136909,0.664582770568791,0.279530510785337,0.940804332303782,0.0770766113360356,0.0831777171002143,0.48291527031224,0.778792294445495,0.42939755309191,0.547832184772285,0.87147729205314,318.983672781503,1.06595873881839
10,20,18.7542574498209,2.08957270102557,4.19333176032723,4.43485509998912,1.46417773960443,0.0573197214508551,0.3892982386741,0.556125529141402,0.420954732884627,0.0361248413519731,0.228308593056441,0.156776439819114,0.158837376862813,0.652203439776956,0.496418747066043,0.844474308083414,0.951111300161281,314.944294081571,0.936868879702976
1,25,26.405491196843,2.35004521923171,3.30131133489378,4.44605336988703,1.74008009905214,0.159219061171066,0.357816162829614,0.869876987103362,0.00936292494715629,0.666514675406135,0.312344683417338,0.0263058893269193,0.134072780947611,0.0754187674861319,0.249902982375926,0.551202644015544,1.03941362668316,331.836877573066,1.13358718999486
2,25,22.8131044941886,2.20361330400582,4.80051387992446,4.14195714144263,2.27883837031371,0.0821679312163806,0.552653401792014,0.727947847207453,0.432783342545474,0.573833101093249,0.384217220288458,0.0019892348884006,0.343470722239109,0.791725096473717,0.627289853884353,0.83042140958778,0.976170888921759,315.495333806282,0.9423620046826
3,25,26.3471974259026,2.72898666087061,4.13248446163669,4.80629988574872,2.35099017672985,0.0271867970557829,0.740569315867091,0.384162685730799,0.544936160838407,0.0114896385265324,0.180017089469034,0.12204363539457,0.174574135894981,0.856419930924611,0.514401864914396,0.628321053484623,0.930229472146541,312.513685217803,0.914651264076868
4,25,26.7432146723803,2.13052443850529,2.96653257754998,4.04597008013512,1.95717246480736,0.000781781623394849,2.57807720162335,0.771343327964284,0.169280106677154,0.790734889128063,0.782119482001744,0.459153990431519,0.993524479924265,0.530779947005059,0.484727005625384,0.521104975185398,1.15430329151682,358.084341954728,1.56656950386931
5,25,25.7696270935977,2.78914879681588,4.61732721540998,4.70240238417991,1.61740103232634,0.0331790746354153,0.452728371004335,0.315490309581188,0.993473020021616,0.0462482655912897,0.407339556540067,0.22364595371132,0.167565400220683,0.877326674604517,0.053497236115203,0.969614282117455,0.906978206549953,314.161859891876,0.84546664489729
