"cv_set","X0_start","X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","ABAM","OTHR","PSME","THPL","TSHE","sigma","NLL","mse"
1,20,18.3865340864496,2.07380928586174,4.53147155434555,5.07604703308887,0.961615137339258,0.00324307828910283,1.81250537129588,0.582953721140914,0.860789896159044,0.362788182406066,0.571062918630674,0.54613653982746,0.726759490199181,1.93596364417145,207.600783688287,3.07600739511825
2,20,19.1205835358385,2.48666955085122,7.3008157527445,5.05555635651909,1.04015748436689,0.0559045926940296,0.964944622704281,0.415768744290861,0.227535459996948,0.619724193418245,0.686390069101799,0.660033450369951,0.0143115360387131,1.41678957454084,181.905639246307,1.33390163876195
3,20,18.0742335013705,1.59155055708352,6.8175880281623,5.04477281743878,2.40587164403896,0.0574667954597359,0.707082270486515,0.370279646720457,0.315465502253209,0.784604380958956,0.924263796932554,0.835765660106137,0.0369380673513011,1.75035583730205,191.721803946346,1.5299303853031
4,20,22.40972871645,2.08641047645979,6.2079964218128,5.42700343203947,2.44902817317095,0.0385901944719912,0.886987286570468,0.4344333360797,0.148967669078131,0.344162124387294,0.890595125448636,0.922853884697919,0.0355352805211164,1.65941758651906,189.356735049624,1.39284942608898
5,20,16.2468466795072,2.00956118871693,6.2070118394091,5.39562951493469,0.950168176554244,3.64835009515649,0.149236099311546,1.71426740533706,0.185898093147988,0.0617183030862738,0.729676658264303,0.0541570515375754,0.000250810034782094,1.97841462221219,205.782878813084,2.56239201152985
6,20,20.280679383635,2.03538476676411,5.62845924322294,5.28891928353737,2.64041041924998,0.0305651640191966,1.05130758346427,0.467586730830661,0.396567126426509,0.715201277438984,0.751828675731178,0.905623702854568,0.0539369127807718,1.68859587761709,193.976950409981,1.93580480684744
7,20,15.5950971928905,2.55906128166092,7.31161873778021,5.22873319761552,1.66961439046222,0.0831119343091704,0.870804049307676,0.455769008820398,0.225537307362398,0.157682984056345,0.731952031597818,0.579407958882382,0.00873692168315215,1.633937686107,183.507856130391,1.09390170396966
8,20,20.3891832244308,2.35955030379255,6.46568558811807,5.49540360697453,2.67546535894514,0.0635265585525175,0.997368857880479,0.480840512284406,0.180067525838741,0.227643003564396,0.493596355612475,0.60414181926182,0.0131955371203533,1.69723537571037,187.525462378059,1.3195767678425
9,20,17.5958997656361,2.33501172302595,6.32321296469818,5.51881496470544,2.63432869248545,0.0666165703942768,1.03068827550103,0.676739156334396,0.378062947263317,0.175146921553166,0.984592735334476,0.828009529786469,0.000678920393747369,1.78052652437397,190.158797196833,1.57842830599091
10,20,22.7811518458415,2.39343859931813,6.22522805306931,5.38243372472626,1.90680066157124,0.0356426106701713,1.06787517715692,0.462899641227151,0.181744044681498,0.247302072447905,0.719146483596213,0.750518816304307,0.00105629194013196,1.57712644208264,186.728870198405,1.33501310315768
1,25,22.8355823098695,2.5645591386504,4.54010708325173,5.4836697781052,2.63375713749611,0.0314078457965501,1.09299809844098,0.586603983792023,0.386718172513756,0.686769252158034,0.878032284217727,0.613279303833235,0.00986865987769606,1.81813278771209,200.227275485205,2.38624531193429
2,25,23.9045334498163,2.26631149529403,6.43448849519892,5.81460886513903,2.77238580657009,0.0286209698603363,0.962882855377818,0.26669716861801,0.105631493939081,0.741596277097045,0.768725349899838,0.872252077102243,0.023458893126833,1.62471086448261,187.870398057924,1.52020748148075
3,25,25.5672509878802,2.20605154880898,6.60754832295065,5.71058006239137,2.80588770471364,0.075557995711347,1.0874643615472,0.680849332240856,0.0979998560042564,0.613199781524777,0.684315368871837,0.574702234666771,0.0205926240709626,1.69941907493219,189.650965308801,1.63340036721507
4,25,24.2308890700171,2.24520627082143,6.47941399494405,5.28131259164282,2.22782969994238,0.0515510902658569,1.20611818081548,0.805734685798865,0.273403366970032,0.406433544170486,0.858036720889504,0.847325883909431,0.00210825478633983,1.4650308781379,187.508433747758,1.36622950521677
5,25,13.7694891964515,2.54864239979636,5.1777756619544,4.39562806198192,2.7544121191166,4.69770482007247,0.224765412104024,2.10072932464379,0.0249097763536944,0.082611709326855,0.460361531706029,0.752736875378497,0.00772032158232844,2.1553338627908,218.44877140559,3.11329276603687
6,25,21.8351181462364,2.20524680733617,7.79931222102774,5.39282315239505,2.53457346268534,0.057053253563302,1.21265968733293,0.421019577690472,0.122765356063406,0.503689925640126,0.480636810902901,0.356996930181585,0.0562561429837614,1.51352852853952,184.733616252237,1.40334376780485
7,25,24.8784404049837,2.60823254355123,6.57821932305878,5.07043521890493,1.21806344255975,0.051752898931788,1.05922119638871,0.36403983372068,0.116077316590962,0.44467443947186,0.561586901518304,0.637914827790864,0.0112234789592448,1.57718736799744,185.68795976066,1.64437793762587
