"cv_set","X0_start","X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","ABAM","CANO","OTHR","PICO","PIMO","PSME","TABR","THPL","TSHE","sigma","NLL","mse"
1,25,26.549049928308,2.79974400734146,4.7160789220576,4.92671317662286,2.63073901857875,0.173139736074723,1.07032098580408,1.11056695355754,0.00937748690044266,0.646903891501885,0.0186953301159626,0.810121016063152,0.88829014754776,0.481130085006476,0.747451430823089,0.213674446205903,0.192623614246497,1.27301557671435,1560.87998286896,1.97135862026899
2,25,25.7469648629297,2.72301116161379,4.33857008150562,5.33962469903058,2.7788541545402,0.167887463402325,0.841367212831154,1.09460533951247,0.034895395004131,0.584368458154517,0.384300899293402,0.868592654935168,0.104824005309336,0.615479925149156,0.290847618890374,0.344380301632434,0.185120428166845,1.27532536052544,1563.43370910728,1.9888766331154
3,25,22.2854263212243,2.80622971920924,4.02172403607039,5.05206911868683,1.77816876219528,0.300025593965212,0.352905521659459,1.01773279738078,0.0147353963498706,0.93739842197437,0.0489180823712893,0.874800045257107,0.915146408321685,0.959310027995944,0.0641840045626591,0.575709091089962,0.11740586199344,1.28467612952446,1573.95276319234,2.02688731787669
4,25,26.3332197332246,2.56015871701382,4.75452145430691,5.20542658794598,2.89851310521156,0.0555508265750818,1.27250146368406,1.17412714176538,0.0666985972293767,0.10926844709375,0.393712254677475,0.967332756953366,0.246962309483105,0.878815935246169,0.536285786591226,0.264446688920153,0.538064880832832,1.27910461022121,1563.49642083116,1.8278547450356
5,25,22.9293310774559,2.49572604977446,4.97309467161895,5.21001240530621,2.78402902220434,0.0577669029416933,1.29875687900107,0.985219502162161,0.0404432370338558,0.221986798274306,0.356287405449041,0.686225964428735,0.352763991777247,0.615394583714845,0.793121852738237,0.417820090768839,0.356749241383223,1.26574106876839,1560.50072008848,1.8895995725425
6,25,25.933001663319,2.59394196652707,5.0243355086256,5.39754206109703,2.45671168551835,0.112561158586244,0.967092413794996,1.02702605258786,0.0259518745200595,0.56846231254876,0.0918379843969566,0.562879198297598,0.461542784944437,0.617565571752365,0.872421637328548,0.364074122861339,0.375506148578908,1.19709467504923,1554.10216086515,1.90834704639243
7,25,25.6427904676499,2.52771674554141,4.40898179662119,5.29429401867903,2.72480175848067,0.0467580254778469,1.00902459857315,0.87120660482411,0.0188915740517584,0.36760203177199,0.365991305255827,0.688246169076966,0.781407448964121,0.853538001481481,0.142514184916172,0.791432208491261,0.375685637129536,1.28515940115941,1563.58745775294,1.94293277642318
8,25,24.9281867305998,2.62752284090231,3.88647475261972,4.57928736906874,2.38447074749769,0.787540706905377,0.24275176051175,1.37203595163782,0.00919607310130781,0.769115324099858,0.0668182084427936,0.131264852958258,0.670856339354258,0.528920424486471,0.0187810429205168,0.498263882800932,0.0862886800691896,1.22989999995944,1580.90598321468,2.01195810714155
9,25,22.2259825535858,2.78549714015699,3.85502892868811,5.05797812661716,1.7637154863965,0.154632520201399,0.713154278529458,1.20030504962712,0.0189038003435566,0.794941727195825,0.340720498411806,0.107468079911233,0.457503186165797,0.754673177150981,0.0529214466655437,0.787269314435344,0.196747291771661,1.2809920755657,1575.59609301407,2.04731297800443
10,25,27.8955600020769,2.89425585581941,3.99390459215699,5.40668428353144,2.74474099745048,0.128984719581063,0.736831552117578,1.07942984293011,0.026791494563103,0.527665511968184,0.153158417192624,0.50900638841117,0.4256592308265,0.905818226021479,0.153804208311809,0.544905601927941,0.258187298965461,1.31443571894708,1568.20815628,1.96085318235349
1,30,29.856964445362,2.52401159330235,4.60831798654663,4.941679569255,2.28995543619009,0.0462351654794469,0.970604464289279,0.751267736078763,0.0162337154888743,0.552553204763453,0.0750013117312812,0.0669822702214782,0.90246946610715,0.867340307578827,0.274750639450805,0.514080189511336,0.279862070111429,1.26026860750792,1562.83028102743,1.92472021414491
2,30,29.3833528355546,2.74904353353437,4.49453853249797,4.752665237434,2.1674166510181,0.0764365241684627,1.00357249946062,1.13485152731966,0.00571632865174014,0.857632914270301,0.766624339610403,0.828429227010347,0.301938633508709,0.772090465552959,0.583886369789528,0.658320706344429,0.551952005398248,1.25483424294296,1568.49798964529,1.98003683648361
3,30,28.3767941439267,2.65099685785949,4.30314236997243,4.57541390572414,2.87742662876168,0.0480468122811384,1.19928999729179,1.09859699485204,0.0658291237832968,0.473199887148357,0.464163771976186,0.573623329225285,0.119803159310845,0.928489551326173,0.837438510116385,0.159788103710895,0.63390880922487,1.28701296671487,1573.49173011607,1.88830485789954
4,30,29.6286713061979,2.83001487364865,4.1556951051016,5.50984243774091,2.469173146915,0.145775036147715,0.788209034961634,1.15986478179613,0.0119760078403088,0.908311763922977,0.0822340226953344,0.430826731922633,0.911924523911506,0.836989947344096,0.245216334883958,0.220088812608099,0.162935161090664,1.28675167402645,1566.58213760479,1.99314577137015
5,30,28.0835229132372,2.8292185160174,4.2906899905158,4.81819128558057,2.4851025339016,0.159985156387512,0.582693930616916,1.04937664486285,0.0236712549222832,0.876692667467696,0.227586521696759,0.561587648483123,0.0561982001126396,0.833346532345625,0.862413533552094,0.7968034141226,0.27715285692968,1.2484486472736,1570.35392750344,2.0057301044154
6,30,29.0947802476025,2.67345936924197,4.78383584427553,5.34415924914977,1.95000675326139,0.0616487998099283,0.981692449786443,0.702774730621157,0.0667161452699541,0.496089148328157,0.185297690409311,0.619540732641851,0.629295177555425,0.701524426733313,0.253357726928512,0.236366646767844,0.172409872609196,1.26397296178827,1561.15097567598,1.95501052306023
7,30,29.6111673178916,2.95560308253304,4.63793435766583,5.40731587790637,1.90246765304973,0.114279773484195,1.11044637024277,1.06073609950343,0.0315317592867424,0.111493353645101,0.099886620353512,0.854598458365163,0.220572562749737,0.550212672171515,0.241035888309929,0.269723079940603,0.261634316581196,1.29271128910002,1566.54420398891,1.90237291260218
8,30,28.2469050168897,2.75013634517457,4.48534393689464,4.96152942756333,2.06507385414253,0.0985308325429939,0.992997399716054,1.27655858958957,0.0256298606858631,0.90090611314413,0.276831962760498,0.903605881022671,0.821873677714466,0.958815932976185,0.410151275051227,0.67191975861688,0.442341705982242,1.18667916904493,1566.45552238145,1.94908622033293
9,30,29.8098767806187,2.39304103278103,6.55114484718374,3.63218398686841,2.8178656591891,0.0636213457721789,1.56231597195105,1.23212250502415,0.112097398471774,0.543073957307257,0.368444891063284,0.582946602024657,0.596728997025424,0.547654102031049,0.73839274312286,0.0638096806271272,0.547562264452769,1.30128664838038,1596.9009673806,1.89183498543404
10,30,29.084772453849,2.66324916002175,4.22463023091979,4.87047359041962,2.59658612675986,0.182132975338589,1.00397180327436,1.46527785427899,0.010948825189321,0.946228261003896,0.0566406758864708,0.96208451769317,0.43306037071206,0.711875134274585,0.543825029761003,0.238843510437427,0.340204254334244,1.26370505287848,1569.30212524852,1.94693373594125
