"cv_set","X0_start","X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","ABAM","CANO","OTHR","TSME","sigma","NLL","mse"
1,5,5.26988250968323,1.59625622502442,1.8670514664476,3.45062506810241,2.13852628434371,0.0608393914553027,1.65383564462014,1.60075313349842,0.0280760100473695,0.00587908840559461,0.578164931706965,0.940717822102663,0.486980107906205,59.6971329617975,0.902771211245827
2,5,4.78675527989517,1.62123361804353,1.78225849401406,4.0395709567004,2.82771194478451,0.311579932165831,0.897040652967529,2.08136483567203,0.00784781892206106,0.135687276498014,0.866067265334863,0.727822657318331,0.458865491694603,61.9099614031044,1.19892318859937
3,5,4.31005747992655,2.14122018148047,1.98056458324336,3.52653247357218,2.68665420918826,0.0893265358506084,1.42822537134743,1.50156000465697,0.0437805774256235,0.18743812874005,0.665763576126359,0.851990118804672,0.528768277780628,61.0472291391961,0.913484704650888
4,5,8.34444515195306,2.66035597298227,1.80914370968937,3.68496792549701,2.27219411143549,0.0919675660170884,1.48814796977997,1.96261863270864,0.0085985697503144,0.164897197688662,0.399664766678904,0.902617637265923,0.475735274439705,58.706423723081,0.97998373946444
5,5,3.63916539111188,1.81057951350364,1.8664590003886,3.32912021334697,1.9204861979296,0.181167677579416,0.847453932149338,1.64772278994516,0.0672052598964111,0.201182134827112,0.389219703117106,0.973747544959196,0.506130185037146,63.3939442869471,1.05916876778414
6,5,3.95533680723521,2.28617380221584,2.28019952081335,3.30000937292378,2.27902465195892,0.0397069046338722,1.78138896340462,1.19563227694054,0.00400432686283527,0.236911400355205,0.512265829198081,0.764870828609416,0.453448828336355,61.3181650641775,0.719583070699866
7,5,4.79476794764597,2.05899188850018,2.06589252503235,2.99600344036782,2.29024598766495,0.052706708449524,1.72045408454824,1.11185703808563,0.000654416291858861,0.045580732476927,0.322105124558484,0.488217281837901,0.501335922959021,60.28181389792,0.665177542962591
8,5,4.65008093853946,1.81046526294381,1.88409905497376,3.86455923002329,2.48145987130651,0.181286303460155,1.53127161634961,2.03792637603324,0.0298050062074593,0.0522939700984432,0.790149652938429,0.590804933801449,0.532386095812258,61.0754876082435,1.12820664771638
9,5,4.91230306382834,1.57072502887026,1.87451762130041,3.5587202454353,2.13465559566119,0.0983336430000366,1.53232861432101,1.99548570276903,0.0062996460878938,0.052176878004389,0.760388486684275,0.862672472756175,0.445648135017576,59.3622293549567,1.01257107409053
10,5,3.55855332206603,1.80691616107019,1.70474247570843,3.99094188253655,2.68168540972461,0.0835775408596811,1.78276042772002,2.25587293206082,0.0440096111405572,0.049721994021766,0.131129642196153,0.858847803793296,0.518795532721312,62.0509969656621,1.10872353962185
1,15,8.7623063550699,2.22288778165426,2.02921160362783,3.77837017044737,2.17045540752003,0.0868497397612552,1.34896060247094,1.23396353055132,0.0513710287234837,0.0193742574753767,0.716976545585286,0.609014106315748,0.447857994581257,62.6166077676274,0.740054589578059
2,15,16.405738097338,2.30507178283677,2.31038264999108,3.75018738882258,2.73745351466011,0.0385935468157385,2.07651714337694,1.73213402932164,0.00495161456929461,0.0260339871419682,0.621406990155114,0.914770381369484,0.499257138419353,60.3382119201426,0.814047451772847
