"tree_id","stand_id","plot","tag","species","year","tree_status","dbh","x_coord","y_coord","size_cat"
"AB08000100022","AB08",1,19,"TSHE",2012,"1",15.1,18.11,95.68,"regular"
"AB08000100001","AB08",1,4001,"TSHE",2012,"1",50.4,11.78,96.77,"regular"
"AB08000100002","AB08",1,4002,"TSHE",2012,"1",81.1,12.47,97.95,"regular"
"AB08000100003","AB08",1,4003,"TSHE",2012,"1",20,14.94,91.91,"regular"
"AB08000100004","AB08",1,4004,"TSHE",2012,"1",53.7,22.09,99.06,"regular"
"AB08000100005","AB08",1,4005,"TSHE",2012,"1",24.4,12.16,91.48,"regular"
"AB08000100006","AB08",1,4006,"ABAM",2012,"1",30.1,7.46,90.1,"regular"
"AB08000100018","AB08",1,4007,"TSHE",2012,"1",22.1,7.04,87.83,"regular"
"AB08000100007","AB08",1,4008,"THPL",2012,"1",57,14.43,89.14,"regular"
"AB08000100008","AB08",1,4009,"TSHE",2012,"1",25.6,13.57,85.75,"regular"
"AB08000100009","AB08",1,4010,"THPL",2012,"1",55.4,8.25,84.76,"regular"
"AB08000100010","AB08",1,4011,"PSME",2012,"1",82.5,3.4,79.25,"regular"
"AB08000100011","AB08",1,4012,"TSHE",2012,"1",68.6,1.97,78.97,"regular"
"AB08000100012","AB08",1,4013,"TSHE",2012,"1",54.5,11.38,80.15,"regular"
"AB08000100013","AB08",1,4014,"TSHE",2008,"6",29.2,12.99,76.97,"regular"
"AB08000100014","AB08",1,4015,"TSHE",2012,"1",22.2,19.02,77.22,"regular"
"AB08000100015","AB08",1,4016,"TSHE",2012,"1",91.5,21.69,78.49,"regular"
"AB08000100016","AB08",1,4017,"TSHE",2012,"1",72.1,19.85,75.25,"regular"
"AB08000100017","AB08",1,4540,"TSHE",2012,"1",24.6,15.82,90,"regular"
"AB08000100021","AB08",1,8483,"ABAM",2012,"1",19.3,4.53,76.58,"regular"
"AB08000100019","AB08",1,8668,"TSHE",2012,"1",16.4,6.07,83.6,"regular"
"AB08000100020","AB08",1,8669,"TSHE",2012,"1",17.9,3.72,84.92,"regular"
"AB08000200017","AB08",2,131,"TSHE",2012,"1",14.8,7.42,59.44,"regular"
"AB08000200001","AB08",2,4018,"TSHE",2008,"6",40.3,11.04,73.12,"regular"
"AB08000200002","AB08",2,4019,"TSHE",2012,"1",33.6,9.63,73.44,"regular"
"AB08000200003","AB08",2,4020,"PSME",2012,"1",72.8,4.42,69.96,"regular"
"AB08000200004","AB08",2,4021,"THPL",2012,"1",47.5,6.32,68.81,"regular"
"AB08000200005","AB08",2,4022,"TSHE",2012,"1",47.4,22.8,68.58,"regular"
"AB08000200006","AB08",2,4023,"TSHE",2012,"1",71.8,24.78,71.36,"regular"
"AB08000200007","AB08",2,4024,"TSHE",2012,"1",55.7,24.35,67.05,"regular"
"AB08000200008","AB08",2,4025,"TSHE",2012,"1",25.3,24.64,63.31,"regular"
"AB08000200009","AB08",2,4026,"TSHE",2012,"1",41.8,15.38,62.53,"regular"
"AB08000200010","AB08",2,4027,"TSHE",2012,"1",60.5,13.21,64.98,"regular"
"AB08000200011","AB08",2,4028,"TSHE",2012,"1",48.8,10.43,62.39,"regular"
"AB08000200012","AB08",2,4029,"TSHE",2012,"1",60.2,3.18,64.3,"regular"
"AB08000200013","AB08",2,4030,"TSHE",2012,"1",19.5,0.55,64.55,"regular"
"AB08000200014","AB08",2,4031,"TSHE",2012,"1",27.3,2.03,60.93,"regular"
"AB08000200015","AB08",2,4032,"TSHE",2012,"1",74,5.09,58.68,"regular"
"AB08000200016","AB08",2,4033,"TSHE",2012,"1",82.8,5.36,52.83,"regular"
"AB08000300033","AB08",3,51,"ABAM",2012,"1",9.2,43.72,83.83,"small"
"AB08000300034","AB08",3,52,"TSHE",2012,"1",8.1,41.09,89.99,"small"
"AB08000300035","AB08",3,54,"TSHE",2012,"1",6.3,35.96,79.44,"small"
"AB08000300036","AB08",3,55,"TSHE",2012,"1",6.6,36.71,82.45,"small"
"AB08000300037","AB08",3,57,"ABAM",2012,"1",6.4,34.97,81.84,"small"
"AB08000300038","AB08",3,58,"TSHE",2012,"1",7.4,34.69,80.45,"small"
"AB08000300040","AB08",3,111,"ABAM",2012,"1",10.1,52.33,92.52,"small"
"AB08000300041","AB08",3,112,"ABAM",2012,"1",5.5,39.77,81.89,"small"
"AB08000300042","AB08",3,116,"TSHE",2012,"1",5.2,37.44,77.84,"small"
"AB08000300043","AB08",3,117,"TSHE",2012,"1",5.5,36.33,79.41,"small"
"AB08000300044","AB08",3,125,"TSHE",2012,"1",17.3,32.08,73.49,"regular"
"AB08000300001","AB08",3,4034,"TSHE",2012,"1",70.9,27.97,93.85,"regular"
"AB08000300002","AB08",3,4035,"TSHE",2002,"6",64,33.99,96.62,"regular"
"AB08000300003","AB08",3,4036,"TSHE",2008,"6",65.9,34.59,98.37,"regular"
"AB08000300004","AB08",3,4037,"TSHE",2012,"1",14.3,49.6,96.5,"small"
"AB08000300005","AB08",3,4038,"TSHE",2012,"1",47.5,31.99,90.82,"regular"
"AB08000300006","AB08",3,4039,"THPL",2012,"1",7.1,31.24,87.11,"small"
"AB08000300007","AB08",3,4040,"THPL",2012,"1",18.3,32.01,86.39,"regular"
"AB08000300008","AB08",3,4041,"THPL",2012,"1",19.9,32.97,85.22,"regular"
"AB08000300009","AB08",3,4042,"THPL",2012,"1",20.9,34.18,86.44,"regular"
"AB08000300010","AB08",3,4043,"THPL",2012,"1",15.5,34.29,85.05,"regular"
