"species","training","train_r2","test_r2"
"ABAM",1,0.156927353469412,0.227387095606831
"ABAM",2,0.191680697276406,0.004712483306622
"ABAM",3,0.130679597311713,0.224411510835031
"ABAM",4,0.181475621791817,0.0183450972700123
"CANO",1,0.235796233649138,0.353982884651429
"CANO",2,0.260129217382557,0.121988119770682
"CANO",3,0.289054677135367,0.0174259732806736
"CANO",4,0.211739315745217,0.212578214233316
"PSME",1,0.615045827687083,0.643763371841263
"PSME",2,0.589723618910347,0.725433147510706
"PSME",3,0.620682637825176,0.601270944924511
"PSME",4,0.660408419266892,0.491207294575866
"THPL",1,0.149615785933745,0.169115706198774
"THPL",2,0.203578308827803,0.00974261938165022
"THPL",3,0.202926531093018,-0.0991453385511463
"THPL",4,0.18179349683856,0.201594603568774
"TSHE",1,0.240799386746414,0.0666218247875546
"TSHE",2,0.247587451431267,0.0777534163103002
"TSHE",3,0.207931342005477,0.226344956953271
"TSHE",4,0.255182080457302,0.0927981105038264
"TSME",1,0.192409969611165,-0.579996250162474
"TSME",2,0.19028918170382,-0.831957881033433
"TSME",3,0.228449636902529,-0.223764409034745
"TSME",4,0.281559282150682,-0.248126608397921
