"species","training","sps_compABAM","sps_compCANO","sps_compOTHR","sps_compPSME","sps_compTABR","sps_compTHPL","sps_compTSHE","sps_compTSME","sps_compABLA","sps_compPICO","sps_compPIMO"
"ABAM",1,0,0.5,0.5,1,0.5,0.675,0.5,0.915,NA,NA,NA
"ABAM",2,0,0.5,0.5,0.92,0.5,0.795,0.5,0.51,NA,NA,NA
"ABAM",3,0,0.79,0.5,0.79,0.5,0.5,0.5,0.665,NA,NA,NA
"ABAM",4,0,0.5,0.5,0.95,0.5,0.51,0.5,0.5,NA,NA,NA
"CANO",1,0.5,0.5,0,NA,NA,NA,0.5,0.5,NA,NA,NA
"CANO",2,0.5,0.5,0,NA,NA,NA,0.5,0.5,NA,NA,NA
"CANO",3,0.5,0.5,0.5,NA,NA,NA,0.48,0.5,NA,NA,NA
"CANO",4,0.5,0.5,0.5,NA,NA,NA,0.5,0.5,NA,NA,NA
"PSME",1,0.61,NA,0.06,0.5,NA,0.5,0.61,NA,0.5,0.5,0.425
"PSME",2,0.92,NA,0.3,0.5,NA,0.5,0.505,NA,0.5,0.5,0.405
"PSME",3,0.5,NA,0.5,0.5,NA,0.5,0.5,NA,0.5,0.5,0.5
"PSME",4,0.565,NA,0.5,0.5,NA,0.5,0.5,NA,0.5,0.49,0.5
"THPL",1,0.5,NA,0.5,0.5,NA,0.5,0.5,NA,NA,NA,NA
"THPL",2,0.5,NA,0.5,0.5,NA,0.5,0.5,NA,NA,NA,NA
"THPL",3,0.5,NA,0.5,0.515,NA,0.5,0.5,NA,NA,NA,NA
"THPL",4,0.5,NA,0.5,0.985,NA,0.5,0.5,NA,NA,NA,NA
"TSHE",1,0.5,0.66,0.44,0.94,0.5,0.66,0.5,NA,NA,0.5,0.5
"TSHE",2,0.02,0.63,0.5,0.92,0.5,0.515,0.5,NA,NA,0.5,0.5
"TSHE",3,0.5,0.6,0.5,1,0.5,0.63,0.5,NA,NA,0.5,0.5
"TSHE",4,0.5,0.755,0.5,0.5,0.5,0.5,0.5,NA,NA,0.5,0.5
"TSME",1,0.505,0.5,0.5,NA,NA,NA,NA,0.48,NA,NA,NA
"TSME",2,0.5,0.66,0.5,NA,NA,NA,NA,0.5,NA,NA,NA
"TSME",3,0.5,0.57,0.5,NA,NA,NA,NA,0.5,NA,NA,NA
"TSME",4,0.5,0.5,0.5,NA,NA,NA,NA,0.5,NA,NA,NA
