"X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","sigma","X0_opt","Xb_opt","gmax_opt","pet_a_opt","pet_b_opt","C_opt","alpha_opt","beta_opt","sigma_opt","NLL"
10,2,1,3,2,1,1,1,5,11.5275363460746,2.32543072657469,1.70300171293292,3.42597402548667,1.5288601653785,0.0143629480187012,0.182858077316128,2.40824010993076,0.583417741648927,69.7890309362353
15,2,1,3,2,1,1,1,5,14.7277077826287,2.54041010106374,1.59407508963108,3.47688645723837,1.91057422260041,0.00183059311796874,1.29033832291381,2.81601534837679,0.574278565265081,69.6664283422616
20,2,1,3,2,1,1,1,5,21.7149782298518,2.91209208679018,1.74616057607212,3.4466222317333,2.26993971836383,0.00150682893484836,0.848651271050185,0.75048378129409,0.56538314178754,70.0028084904014
25,2,1,3,2,1,1,1,5,22.0186695782771,2.92769653140896,1.65221503419238,3.77659532678847,2.72045104912023,0.00858894432954292,0.0868513916759068,1.35601801571524,0.60422293917927,69.8434187386273
10,2,1,3,2,1,1,1,5,6.19729379436562,2.0876941641496,1.46136322885103,3.77620371228119,2.76920775968169,0.0029989686295404,0.998664566838625,3.72182587062468,0.570677626264026,69.6322832352484
15,2,1,3,2,1,1,1,5,11.253123136911,2.8136573821685,2.14590677563608,3.41498717946995,1.67091771107469,0.00776588952314412,1.97280426438443,1.43097347197523,0.600571424793381,69.012794186303
20,2,1,3,2,1,1,1,5,18.8081230177452,2.68709452027617,2.64823968766553,3.05111357756499,2.86788458442969,0.0144080059269197,1.22887430689327,0.820713732613182,0.578209401380317,69.9384071445167
25,2,1,3,2,1,1,1,5,27.7265224862038,2.75333188013415,3.95837853422057,3.17452630694804,2.98870600433364,0.00913334939062804,1.35523674063663,0.429780983350497,0.614348541059526,69.8335675828981
10,2,1,3,2,1,1,1,5,14.0520265543996,2.88451311150803,1.50670067465925,3.81009430843445,2.74858732654791,0.000970757914675885,1.29721928828157,2.29796790938937,0.571240514924115,69.5350728264172
15,2,1,3,2,1,1,1,5,22.8612371674709,2.88124473090925,2.18175993865223,3.410784570908,1.08955902908809,0.0111174538677063,0.745246472825894,1.9320807747403,0.60276558838651,70.1641659423032
20,2,1,3,2,1,1,1,5,21.928044409361,2.94085140451209,1.6184935443918,3.88349501112474,2.83326954504674,0.00641743345565449,1.15839311651727,3.64938020208138,0.579941090350752,69.9294233215729
25,2,1,3,2,1,1,1,5,25.560589365401,2.89615477831175,2.17283930825108,3.44041027619281,1.1887415407203,0.00676695944192399,0.641037597471835,0.830905248244321,0.588269354224594,69.888735828289
