"X0","Xb","gmax","pet_a","pet_b","C","alpha","beta","intra","inter","sigma","X0_opt","Xb_opt","gmax_opt","pet_a_opt","pet_b_opt","C_opt","alpha_opt","beta_opt","intra_opt","inter_opt","sigma_opt","NLL"
10,2,1,3,2,1,1,1,0.5,0.5,5,8.1102586725733,2.92000103218215,2.42343156723754,3.28670001253769,1.25907192893634,3.42946081895683,0.402198162892833,1.44649126381444,0.126459893088965,0.00855715894135661,0.539465536603757,59.732681663196
15,2,1,3,2,1,1,1,0.5,0.5,5,12.3286623178238,2.96164132509532,1.55131180310582,3.24941133343095,2.13482037624898,3.73693613709173,0.504452132898773,3.47236146668412,0.0750610641012838,0.00289776890559596,0.514836271669083,60.9482767605396
20,2,1,3,2,1,1,1,0.5,0.5,5,14.5849521502817,2.86712902887588,1.67532747824597,3.13647588498685,2.44255736577383,3.36023820148269,0.372036306523755,2.50817811505224,0.151764290005616,0.0158726774075771,0.549081178815897,60.6053988704553
25,2,1,3,2,1,1,1,0.5,0.5,5,21.152659131064,2.93630531730325,2.00824257691881,3.32280647953862,2.11318729229266,0.132524429265092,1.53249309294573,1.76053022821375,0.488983176215825,0.0520747232747563,0.492853038540499,57.0926371679305
10,2,1,3,2,1,1,1,0.5,0.5,5,6.09032605335095,2.88659616991559,1.69567851857443,3.23951513113614,1.81806621491119,0.0393566940029803,1.69291959212167,1.66959835848816,0.995589862491613,0.0769257609906785,0.550749960171042,55.0001396571604
15,2,1,3,2,1,1,1,0.5,0.5,5,10.9808639873765,2.93179409808937,1.90567074937418,3.21263461742395,2.5605264919905,0.438970959912495,1.62336047213836,1.59430833364389,0.150888100723396,0.00572973682711958,0.549308808570922,55.2779640792475
20,2,1,3,2,1,1,1,0.5,0.5,5,18.1619110610607,2.94249832300903,2.051004688088,2.91847353521033,2.86955771971217,0.0370358758024691,1.83468599320249,1.37620583834938,0.71203340075604,0.0335753871536922,0.502741528644662,56.0085023119211
25,2,1,3,2,1,1,1,0.5,0.5,5,28.6727747809471,2.96570867762766,2.36958044840813,3.30277982453903,2.45799607568622,0.237156087444188,1.63665257833322,1.7091937833755,0.327509902279116,0.0232865618780708,0.552080461569461,57.7195792750171
10,2,1,3,2,1,1,1,0.5,0.5,5,12.5513950877071,2.99954073503625,1.75842191334288,3.12601661117356,2.38259768972298,0.156471935528156,1.59104923584483,2.04962654313588,0.581795162794384,0.0465817228772846,0.516804322121797,55.9005437945226
15,2,1,3,2,1,1,1,0.5,0.5,5,11.6152762448105,2.97579409150422,1.89648945833079,2.71434869314327,2.73995851348223,0.124705928457221,1.28913904583909,1.54032800262156,0.642099577606009,0.05096186648789,0.511565708135498,55.3444804852036
20,2,1,3,2,1,1,1,0.5,0.5,5,13.6286640807671,2.86692856275203,1.82316524445095,2.91175528570803,2.59525833894366,0.135845587669444,1.22991728912824,1.69936461321786,0.787178881878298,0.00437630682868624,0.533212587066154,56.0406844268366
25,2,1,3,2,1,1,1,0.5,0.5,5,25.577045553421,2.93425343600075,2.04102412482215,3.87640987970057,2.92219135270925,3.23189934481821,0.684977811229997,2.12532565748813,0.104547568850053,0.00966896401706714,0.579961968369871,61.6386504803022
