"X0","Xb","gmax","pet_a","pet_b","sigma","X0_opt","Xb_opt","gmax_opt","pet_a_opt","pet_b_opt","sigma_opt","NLL"
10,2,1,3,2,5,6.68297795025998,2.73094476680118,1.31835069105391,3.4003515469468,2.27361121468696,0.570096101941716,64.0669259879105
15,2,1,3,2,5,4.29298699612796,2.99937912554162,1.26313276268095,3.20780912706843,2.70156382404441,0.593723000060079,63.8557254110472
20,2,1,3,2,5,16.0420985884736,2.98238472465687,1.5021310209161,3.46541363528955,1.9759027318754,0.585499370571896,64.9725860223207
25,2,1,3,2,5,23.4386157021731,2.98567085770221,1.46915139551716,3.17524699888162,2.50129877839288,0.597072411293124,65.4628190609343
10,2,1,3,2,5,3.72226309472212,2.96276438982702,1.47011835698852,3.33765466121263,1.33931610602664,0.578124848577161,63.6437876073618
15,2,1,3,2,5,8.63010649445039,2.98911461334611,1.30905637723183,3.40848355459758,2.65011186643629,0.57701454866644,64.0342677143921
20,2,1,3,2,5,18.3210718572463,2.99596186737641,1.48472720656438,3.35540343244895,2.18848449508375,0.593094035867431,64.988011406965
25,2,1,3,2,5,20.287609661855,2.97324869422409,1.45651499724998,3.34482965225848,2.242495444733,0.58971230961161,65.1813391471909
10,2,1,3,2,5,4.22914879862002,2.96583350042164,1.38505686071319,3.3627260613018,1.64242772694678,0.570645156386111,63.6649333986025
15,2,1,3,2,5,13.1625865340643,2.8232727820056,1.40203687145252,3.25893163915516,2.36541823976624,0.569758809011617,64.7862639673418
20,2,1,3,2,5,18.1296230808289,2.95477979537634,1.49774884976233,3.28747655136742,1.72616236804083,0.570454743152022,65.0436032003667
25,2,1,3,2,5,18.3279904034802,2.9005486459583,1.43976922753065,3.2817800325858,2.12780903438776,0.580313734536506,65.2162779428753
