"focal_sps","training_set","no_comp","eq_comp","int_comp","ss_comp"
"ABAM",1,215.8,37.76,0,20.11
"ABAM",2,175.94,16.73,3.81,0
"ABAM",3,126.98,24.47,0,1.76
"ABAM",4,109.26,7.21,0,21.75
"CANO",1,35.67,20.97,3.11,0
"CANO",2,38.41,16.89,0,8.78
"CANO",3,89.06,46.03,0,10.32
"CANO",4,60.52,0,6.98,13.38
"PSME",1,66.33,0,6.69,5.55
"PSME",2,39.15,0,3.17,3.18
"PSME",3,22.45,0.54,2.31,0
"PSME",4,59,0,2.36,7.86
"THPL",1,53.3,35.14,11.18,0
"THPL",2,37.08,16.46,3.8,0
"THPL",3,45.82,25.99,31.36,0
"THPL",4,36.77,13.12,10.12,0
"TSHE",1,136.44,70.57,66,0
"TSHE",2,126.77,89.5,63.7,0
"TSHE",3,158.71,70.38,62.92,0
"TSHE",4,88.86,63.22,42.69,0
"TSME",1,3.35,10,0,2.4
"TSME",2,6.25,12.44,0,6.75
"TSME",3,4.28,7.95,0,9.61
"TSME",4,2.63,10.97,0,7.71
