"focal_sps","training_set","no_comp","eq_comp","int_comp","ss_comp"
"ABAM",1,186.32,15.24,0,9.35
"ABAM",2,164.8,27.34,0,0.11
"ABAM",3,162.53,30.82,0,10.48
"ABAM",4,172.36,30.95,8.89,0
"CANO",1,36.85,24.72,0,1.54
"CANO",2,51.27,19.93,0,9.22
"CANO",3,36.99,19.22,0,2.03
"CANO",4,39.1,16.46,0,11.54
"PSME",1,63.59,0,5.31,5.18
"PSME",2,58.33,0.71,0,5.57
"PSME",3,63.81,0.75,3.44,0
"PSME",4,47.68,2.29,0,7.88
"THPL",1,35.14,8.7,10.17,0
"THPL",2,51.19,26.76,11.75,0
"THPL",3,26.86,7.07,1.5,0
"THPL",4,55.22,26.67,27.23,0
"TSHE",1,184.94,112.62,93.65,0
"TSHE",2,148.56,97.88,85.81,0
"TSHE",3,152.34,78.72,66.52,0
"TSHE",4,187.18,106.54,95.36,0
"TSME",1,5.77,13.75,0,6.1
"TSME",2,14.63,20.83,0,5.9
"TSME",3,15.83,10.25,0,7.26
"TSME",4,6.86,13.7,0,3.43
